候选Agent,岗位族代码,岗位族名称,数据可信度,说明
设计细分长尾合并Agent,JF-01,保司战略族,HR权威数据核实,原表已一致
细分市场判断与目标设计Agent,JF-01,保司战略族,业务方口头确认+HR数据双重印证(待01层材料佐证),原表已一致
保险授权确认Agent,JF-01,保司战略族,HR权威数据核实,原表已一致(v2曾误判为B族)
保司业务运营赋能Agent,JF-02,保司关系族,HR权威数据核实,原表已一致(v2曾误判为A族)
保司资源整合Agent,JF-02,保司关系族,HR权威数据核实,原表已一致(v2曾误判为A族)
保司长尾合并Agent,JF-02,保司关系族,HR权威数据核实,原表已一致(v2曾误判为A族)
保司数据回流Agent,JF-02,保司关系族,HR权威数据核实,原表已一致
产品上架Agent,JF-02,保司关系族,HR权威数据核实,原表已一致
KA准入Agent,JF-03,机构业务族,HR权威数据核实,原表已一致
KA赋能运维Agent,JF-03,机构业务族,HR权威数据核实,原表已一致
经代机构全周期Agent,JF-03,机构业务族,HR权威数据核实,原表已一致
联合运营专项Agent,JF-03,机构业务族,HR权威数据核实,原表已一致
联合运营需求诊断Agent,JF-03,机构业务族,HR权威数据核实,原表已一致
联合运营项目交付Agent,JF-03,机构业务族,HR权威数据核实,原表已一致
理财师全周期Agent,JF-04,事业部运营族,HR权威数据核实,原表已一致
理财师业务分析Agent,JF-04,事业部运营族,HR权威数据核实,原表已一致
理财师分级绩效Agent,待确认,D族/E族均有出现,待HR正式裁定,对应L3-EO；HR文档六节跨族链路记录"实际执行在理财师发展部门"(即JF-05)，但非正式拍板决议，不直接下结论
理财师全周期Agent,JF-05,理财师发展族,HR权威数据核实,原表已一致(与JF-04同名Agent为跨族共用)
理财师业务分析Agent,JF-05,理财师发展族,HR权威数据核实,原表已一致(与JF-04同名Agent为跨族共用)
权益服务执行Agent,JF-06,权益服务族,业务方裁定,原表已一致
权益客户交付Agent,JF-06,权益服务族,HR权威数据核实,原表已一致
服务寻源上架Agent,JF-06,权益服务族,业务方裁定,原表已一致
权益上市推广Agent,JF-06,权益服务族,HR权威数据核实,原表已一致(此前统计遗漏，v2已补齐)
佣金全链路管理Agent,JF-07,佣金合规族,HR权威数据核实,原表已一致
跨域长尾合并Agent,JF-07,佣金合规族,HR权威数据核实(本次对齐修正),【已修正】原表v2标为F族(JF-06)，HR文档748-749行Mark明确决议"SRM保留在JF-07佣金管理与合规岗，理由：SRM为跨域资源协调，与佣金管理场景关联更强"，对应L3-SRM，改为G族(JF-07)
任务管控与执行反馈Agent,职能层,职能支撑层(横切基础设施),HR权威数据核实(本次对齐修正),【已修正】原表v2标为"全岗位族共用"，HR文档748-749行Mark明确决议"EFB...保留在职能层...属横切基础设施，不归入任何单一业务族"，对应L3-EFB，改用HR的准确说法"职能层"
持续监控优化Agent,职能层,职能支撑层(横切基础设施),HR权威数据核实(本次对齐修正),【已修正】原表v2标为"全岗位族共用"，HR文档748-749行Mark明确决议"CPM...保留在职能层...属横切基础设施"，对应L3-CPM，改用HR的准确说法"职能层"
运营设计验证Agent,职能层,职能支撑层(横切基础设施),HR权威数据核实(本次对齐修正),【已修正】原表v2标为"全岗位族共用"，HR文档748-749行Mark明确决议"USV...保留在职能层...属横切基础设施"，对应L3-USV，改用HR的准确说法"职能层"
银行账户管理Agent,职能层,职能支撑层,HR权威数据核实,原表已一致
资金调度Agent,职能层,职能支撑层,HR权威数据核实,原表已一致
人力资源长尾合并Agent,职能层,职能支撑层,HR权威数据核实,原表已一致
风险合规监控Agent,职能层,职能支撑层,HR权威数据核实,原表已一致(v2曾误判为C族)
