deliverable_id,node_id,node_name,domain_code,deliverable_name,producer_role,consumer,gate_status,l_layer,sub_product_index,sub_product_total,is_fused,source,recording_file,transcript_date,owner_confirm_date,upload_status
DLV-0001,VN-EQ-02,初版权益规划方案,EQ,初版权益规划方案,,VN-EQ-04终版方案 / 内部评审,🟢正常,L4层,1,4,,待访谈确认,,,,
DLV-0002,VN-EQ-02,初版权益规划方案,EQ,权益成本测算表,,VN-EQ-04终版方案 / 内部评审,🟢正常,L4层,2,4,,待访谈确认,,,,
DLV-0003,VN-EQ-02,初版权益规划方案,EQ,权益测算模型表,,VN-EQ-04终版方案 / 内部评审,🟢正常,L4层,3,4,,待访谈确认,,,,
DLV-0004,VN-EQ-02,初版权益规划方案,EQ,权益商务&财务路径图,,VN-EQ-04终版方案 / 内部评审,🟢正常,L4层,4,4,,待访谈确认,,,,
DLV-0005,VN-EQ-03,权益推广素材包,EQ,权益海报,,业务线/机构 / 推广使用,🟢正常,L4层,1,3,,待访谈确认,,,,
DLV-0006,VN-EQ-03,权益推广素材包,EQ,权益PPT,,业务线/机构 / 推广使用,🟢正常,L4层,2,3,,待访谈确认,,,,
DLV-0007,VN-EQ-03,权益推广素材包,EQ,宣达话术文案,,业务线/机构 / 推广使用,🟢正常,L4层,3,3,,待访谈确认,,,,
DLV-0008,VN-EQ-04,终版权益规划方案,EQ,终版权益规划方案,,对外交付 / 合同签署,🟢正常,L4层,1,2,,待访谈确认,,,,
DLV-0009,VN-EQ-04,终版权益规划方案,EQ,相关协议拟定,,对外交付 / 合同签署,🟢正常,L4层,2,2,,待访谈确认,,,,
DLV-0010,VN-EQ-05,已签权益商务合同,EQ,已签权益商务合同,,合作伙伴 / 法务归档,🟢正常,L4层,1,2,,待访谈确认,,,,
DLV-0011,VN-EQ-05,已签权益商务合同,EQ,RW协议登记表,,合作伙伴 / 法务归档,🟢正常,L4层,2,2,,待访谈确认,,,,
DLV-0012,VN-EQ-06,权益内训素材包,EQ,权益包内训PPT,,交付经理 / 培训使用,🟢正常,L4层,1,3,,待访谈确认,,,,
DLV-0013,VN-EQ-06,权益内训素材包,EQ,权益方案宣达文档,,交付经理 / 培训使用,🟢正常,L4层,2,3,,待访谈确认,,,,
DLV-0014,VN-EQ-06,权益内训素材包,EQ,日常权益答疑指南,,交付经理 / 培训使用,🟢正常,L4层,3,3,,待访谈确认,,,,
DLV-0015,VN-EQ-08,已签服务协议,EQ,服务协议,,合作伙伴 / 法务归档,🟢正常,L4层,1,1,,待访谈确认,,,,
