sop_ref,coding_scheme,domain,sop_title,sop_version,sop_status,generation_date,gap_total,gap_open,gap_resolved,sop_file,last_synced
L3-CDS-SDS,L3流程,,· L3-CDS/L3-SDS · 合同与服务范围确认,v0.1,,2026-07-05,,,,SOP_L3-CDS-SDS_合同与服务范围确认_v0.1.md,2026-07-25
L3-SOB,L3流程,,· L3-SOB · 服务项寻源与上架,v0.1,,2026-07-05,,,,SOP_L3-SOB_服务项寻源与上架_v0.1.md,2026-07-25
L3-SPD,L3流程,,· L3-SPD · 机构宣导与培训,v0.1,,2026-07-05,,,,SOP_L3-SPD_机构宣导与培训_v0.1.md,2026-07-25
L3-SVC-SPO,L3流程,,：L3-SVC / L3-SPO 服务执行与异常处理,v0.1,,,,,,SOP_L3-SVC-SPO_服务执行与异常处理_v0.1.md,2026-07-25
TOB-EVD-007,TOI-TOB证据,,：TOB-EVD-007 验收与交付证据归档,v0.1,,,,,,SOP_TOB-EVD-007_验收与交付证据归档_v0.1.md,2026-07-25
TOB-EVD-008,TOI-TOB证据,,TOB-EVD-008 TOI匿名汇总价值证明,v0.1,,,,,,SOP_TOB-EVD-008_TOI匿名汇总价值证明_v0.1.md,2026-07-25
TOB-EVD-009,TOI-TOB证据,,TOB-EVD-009 结算与价值核算 Roy确认,v0.1,,,,,,SOP_TOB-EVD-009_结算与价值核算_Roy确认_v0.1.md,2026-07-25
TOI-EVD-001,TOI-TOB证据,,TOI-EVD-001 保司价值证明叙事内部候选 v0.1,,,2026-07-05,,,,SOP_TOI-EVD-001_保司价值证明叙事_内部候选_v0.1.md,2026-07-25
VN-EQ-01-02,VN价值节点,EQ,· VN-EQ-01/02 · 权益方案与服务项设计,v0.1,,2026-07-05,0,0,0,SOP_VN-EQ-01-02_权益方案与服务项设计_v0.1.md,2026-07-25
VN-EQ-11,VN价值节点,EQ,· VN-EQ-11 · 经确认的客户权益需求清单,v0.1,,2026-07-05,0,0,0,SOP_VN-EQ-11_经确认的客户权益需求清单_v0.1.md,2026-07-25
VN-FBA-01,VN价值节点,FBA,VN-FBA-01 · 月度/季度经营分析报告 v0.1,,草稿中,2026-07-09,1,0,0,SOP_VN-FBA-01_月度季度经营分析报告_v0.1.md,2026-07-25
VN-FBA-02,VN价值节点,FBA,VN-FBA-02 · 机构季度经营分析报告提交与会议使用 v0.1,,草稿中,2026-07-03,0,0,0,SOP_VN-FBA-02_机构季度经营分析报告_v0.1.md,2026-07-25
VN-FBA-03,VN价值节点,FBA,VN-FBA-03 · 季度过程经营考核项设定与采集 v0.1,,草稿中,2026-07-03,0,0,0,SOP_VN-FBA-03_季度过程经营考核项_v0.1.md,2026-07-25
VN-FBA-05,VN价值节点,FBA,VN-FBA-05 · 分公司招募执行记录归档与总部取数 v0.1,,草稿中,2026-07-03,0,0,0,SOP_VN-FBA-05_分公司招募执行记录归档_v0.1.md,2026-07-25
VN-FLM-01,VN价值节点,FLM,VN-FLM-01 · 招募计划与执行记录 v0.1,,草稿中,2026-07-09,1,0,0,SOP_VN-FLM-01_招募计划与执行记录_v0.1.md,2026-07-25
VN-FOB-01,VN价值节点,FOB,VN-FOB-01 · 转介协议及附属协议签署版 v0.1,,草稿中,2026-07-09,9,8,0,SOP_VN-FOB-01_转介协议及附属协议签署版_v0.1.md,2026-07-25
VN-FOB-02,VN价值节点,FOB,VN-FOB-02 · 新人90天培养计划 v0.1,,草稿中,2026-07-09,1,0,0,SOP_VN-FOB-02_新人90天培养计划_v0.1.md,2026-07-25
VN-FOR-02,VN价值节点,FOR,VN-FOR-02 · 月度营销启发案 v0.1,,草稿中,2026-07-09,1,0,0,SOP_VN-FOR-02_月度营销启发案_v0.1.md,2026-07-25
VN-FPG-01,VN价值节点,FPG,VN-FPG-01 · 月度/季度考核指标表 v0.1,,草稿中,2026-07-09,1,0,0,SOP_VN-FPG-01_月度季度考核指标表_v0.1.md,2026-07-25
VN-FPG-02,VN价值节点,FPG,VN-FPG-02 · 季度激励方案 v0.1,,草稿中,2026-07-09,1,0,0,SOP_VN-FPG-02_季度激励方案_v0.1.md,2026-07-25
VN-FTR-01,VN价值节点,FTR,VN-FTR-01 · 培训课程体系（含配套工具） v0.1,,草稿中,2026-07-09,1,0,0,SOP_VN-FTR-01_培训课程体系含配套工具_v0.1.md,2026-07-25
VN-HR-01,VN价值节点,HR,VN-HR-01 · 中后台内勤季度绩效评定与发放 v0.1,,草稿中,2026-07-03,0,0,0,SOP_VN-HR-01_中后台内勤季度绩效评定_v0.1.md,2026-07-25
VN-HR-02,VN价值节点,HR,VN-HR-02 · 员工花名册分地维护与查询 v0.1,,草稿中,2026-07-03,0,0,0,SOP_VN-HR-02_员工花名册分地维护_v0.1.md,2026-07-25
VN-HR-03,VN价值节点,HR,VN-HR-03 · 员工劳动合同归档（内地） v0.1,,草稿中,2026-07-03,6,2,0,SOP_VN-HR-03_员工劳动合同归档内地_v0.1.md,2026-07-25
