l1_code,l3_code,l3_name,l3_domain,l3_status,l3_trigger,l3_exit_condition,l4_code,l4_name,l4_deliverable,l4_deliverable_type,l4_accountable_role,l4_accountable_family,l5_step,agentifiability,agent_human_touchpoint,agent_d1_input_struct,agent_d2_rule_clear,agent_d3_output_verify,agent_d4_api_reach,agent_d5_fallback,agent_d6_compliance,agent_score_total,sla_hours,sla_source,version,valid_from,source_notes
L1-04,L3-ASD,经代机构售后服务流程,经代业务,active,,,L4-ASD-01,售后服务执行与质量监控,售后服务质量监控报告,报告,,,,Auto,,,,,,,,8,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; 蓝图:流程蓝图_L3-ASD_经代机构售后服务流程_V1.0.md"
L1-03,L3-BAM,银行账户基础设施管理,银行账户,active,,,L4-BAM-01,开户需求确认与资料准备,《银行准入评估表》（4维度）。当前无标准，Roy提出按业务支持/关系/手续费/操作便利性评估,数据表,,,,Auto,人工执行：开户需求确认与资料准备,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-BAM_银行账户基础设施管理_V1.0.md"
L1-03,L3-BAM,银行账户基础设施管理,银行账户,active,,,L4-BAM-02,银行柜台办理（外勤）,《银行开户确认函》/《变更回执》,凭证,,,,Human,人工执行：银行柜台办理（外勤）,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-BAM_银行账户基础设施管理_V1.0.md"
L1-03,L3-BAM,银行账户基础设施管理,银行账户,active,,,L4-BAM-03,U盾/Token配置与登记,《支票领用登记台账》。当前支票双签形同虚设（老板签完一本给财务）,数据表,,,,Auto,人工执行：U盾/Token配置与登记,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-BAM_银行账户基础设施管理_V1.0.md"
L1-03,L3-BAM,银行账户基础设施管理,银行账户,active,,,L4-BAM-04,银行对账单接收与分发,《月度对账单接收清单》,数据表,,,,Auto,,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-BAM_银行账户基础设施管理_V1.0.md"
L1-03,L3-BAM,银行账户基础设施管理,银行账户,active,,,L4-BAM-05,对账单异常与缺失跟进,《对账单缺失跟进记录》,数据表,,,,Auto,人工执行：对账单异常与缺失跟进,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-BAM_银行账户基础设施管理_V1.0.md"
L1-03,L3-BAM,银行账户基础设施管理,银行账户,active,,,L4-BAM-06,账户信息变更,《变更确认回执》+内部更新记录,数据表,,,,Auto,人工执行：账户信息变更,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-BAM_银行账户基础设施管理_V1.0.md"
L1-03,L3-BAM,银行账户基础设施管理,银行账户,active,,,L4-BAM-07,账户日常监控与盘点,《账户状态盘点表》,数据表,,,,Auto,人工执行：账户日常监控与盘点,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-BAM_银行账户基础设施管理_V1.0.md"
L1-03,L3-BAM,银行账户基础设施管理,银行账户,active,,,L4-BAM-08,U盾变更与交接,《U盾变更/交接记录》,数据表,,,,Auto,人工执行：U盾变更与交接,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-BAM_银行账户基础设施管理_V1.0.md"
L1-03,L3-BAM,银行账户基础设施管理,银行账户,active,,,L4-BAM-09,银行费用与账户年检,《银行费用汇总表》+《年检完成记录》,数据表,,,,Auto,,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-BAM_银行账户基础设施管理_V1.0.md"
L1-03,L3-BAM,银行账户基础设施管理,银行账户,active,,,L4-BAM-10,账户注销与资金归集,《注销确认函》+资金转出凭证,数据表,,,,Auto,人工执行：账户注销与资金归集,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-BAM_银行账户基础设施管理_V1.0.md"
L1-03,L3-BAM,银行账户基础设施管理,银行账户,active,,,L4-BAM-11,账户档案归档,《账户全生命周期档案袋》,数据表,,,,Auto,人工执行：账户档案归档,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-BAM_银行账户基础设施管理_V1.0.md"
L1-04,L3-BSRV,经代机构结算与日常运营评估,经代业务,active,,,L4-BSRV-01,日常运营协同,无（过程活动）,方案,,,,Aug,人工执行：日常运营协同,,,,,,,3,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-BSRV_经代机构结算与日常运营评估_V1.0.md
L1-04,L3-BSRV,经代机构结算与日常运营评估,经代业务,active,,,L4-BSRV-02,结算与评估,《机构结算核对台账》（按费用类型：结算服务费/权益费/管理费/合规费/邮箱费）,数据表,,,,Hybrid,,,,,,,,6,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; 蓝图:流程蓝图_L3-BSRV_经代机构结算与日常运营评估_V1.0.md"
L1-05,L3-CAS,竞争与获客策略制定流程,设计细分,active,,,L4-CA-01,竞争策略制定,竞争应对预案库,方案,,,,Hybrid,人工执行：竞争策略制定,,,,,,,3,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-CAS_竞争与获客策略制定流程_V1.1.md
L1-05,L3-CAS,竞争与获客策略制定流程,设计细分,active,,,L4-CA-02,获客策略制定,客户优先级清单 + 核心信息框架,数据表,,,,Hybrid,人工执行：获客策略制定,,,,,,,3,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-CAS_竞争与获客策略制定流程_V1.1.md
L1-05,L3-CAS,竞争与获客策略制定流程,设计细分,active,,,L4-CA-03,战术整合,客户获取作战地图（主交付物）,方案,,,,Hybrid,人工执行：战术整合,,,,,,,2,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-CAS_竞争与获客策略制定流程_V1.1.md
