l3_code,l3_name,version,filename
SPD,服务流程配置与培训,"(1, 0)",流程蓝图_L3-SPD_服务流程配置与培训_V1.0.md
OBC,权益方案目标确认与共识达成,"(1, 0)",流程蓝图_L3-OBC_权益方案目标确认与共识达成_V1.0.md
FBA,理财师业务分析,"(1, 0)",流程蓝图_L3-FBA_理财师业务分析_V1.0.md
SVC,权益服务执行与支持（合并提案）,"(1, 0)",流程蓝图_L3-SVC_权益服务执行与支持（合并提案）_V1.0.md
COB,客户入驻权益服务启动,"(1, 0)",流程蓝图_L3-COB_客户入驻权益服务启动_V1.0.md
RSD,权益方案框架设计,"(1, 0)",流程蓝图_L3-RSD_权益方案框架设计_V1.0.md
UCA,联合运营合约E2E,"(1, 0)",流程蓝图_L3-UCA_联合运营合约E2E_V1.0.md
FPG,理财师绩效与激励,"(1, 0)",流程蓝图_L3-FPG_理财师绩效与激励_V1.0.md
SLM,权益上市推广,"(1, 0)",流程蓝图_L3-SLM_权益上市推广_V1.0.md
SSD,同行经代服务方案设计,"(1, 0)",流程蓝图_L3-SSD_同行经代服务方案设计_V1.0.md
SOB,服务项寻源与上架,"(1, 0)",流程蓝图_L3-SOB_服务项寻源与上架_V1.0.md
JOTM,联合运营初始化与项目启动,"(1, 0)",流程蓝图_L3-JOTM_联合运营初始化与项目启动_V1.0.md
IAC-Auth,授权确认,"(1, 0)",流程蓝图_L3-IAC-Auth_授权确认_V1.0.md
IPI-Ops,日常运营,"(1, 0)",流程蓝图_L3-IPI-Ops_日常运营_V1.0.md
HRM,人员全生命周期管理,"(1, 0)",流程蓝图_L3-HRM_人员全生命周期管理_V1.0.md
SDS,服务相关商务合同起草与签订,"(1, 0)",流程蓝图_L3-SDS_服务相关商务合同起草与签订_V1.0.md
STLM,结算服务执行,"(1, 0)",流程蓝图_L3-STLM_结算服务执行_V1.0.md
BAM,银行账户基础设施管理,"(1, 0)",流程蓝图_L3-BAM_银行账户基础设施管理_V1.0.md
IAC-Neg,合同谈判,"(1, 0)",流程蓝图_L3-IAC-Neg_合同谈判_V1.0.md
FTR,理财师培训与转介签约,"(1, 0)",流程蓝图_L3-FTR_理财师培训与转介签约_V1.0.md
URF,联合运营资源规整与框架方案设计,"(1, 0)",流程蓝图_L3-URF_联合运营资源规整与框架方案设计_V1.0.md
TRVL,机酒车服务执行,"(1, 0)",流程蓝图_L3-TRVL_机酒车服务执行_V1.0.md
TRNG,课程培训服务执行,"(1, 0)",流程蓝图_L3-TRNG_课程培训服务执行_V1.0.md
CFM,现金流规划与资金调度管理,"(1, 0)",流程蓝图_L3-CFM_现金流规划与资金调度管理_V1.0.md
DTVA,权益数据跟踪与价值评估,"(1, 0)",流程蓝图_L3-DTVA_权益数据跟踪与价值评估_V1.0.md
RPD,权益包设计与发布,"(1, 0)",流程蓝图_L3-RPD_权益包设计与发布_V1.0.md
ACTV,商考及活动执行,"(1, 0)",流程蓝图_L3-ACTV_商考及活动执行_V1.0.md
EO,理财师权益分级与绩效监控,"(1, 0)",流程蓝图_L3-EO_理财师权益分级与绩效监控_V1.0.md
HRA,人力分析与决策支持,"(1, 0)",流程蓝图_L3-HRA_人力分析与决策支持_V1.0.md
SPO,服务跟踪处理与优化,"(1, 0)",流程蓝图_L3-SPO_服务跟踪处理与优化_V1.0.md
FLM,理财师线索挖掘与招募,"(1, 0)",流程蓝图_L3-FLM_理财师线索挖掘与招募_V1.0.md
IAC,保司授权与合作框架,"(1, 0)",流程蓝图_L3-IAC_保司授权与合作框架_V1.0.md
SRA,服务需求诊断与分析流程,"(1, 0)",流程蓝图_L3-SRA_服务需求诊断与分析流程_V1.0.md
IPI,保司产品上架与业务运营,"(1, 0)",流程蓝图_L3-IPI_保司产品上架与业务运营_V1.0.md
COM,佣金全链路管理,"(1, 0)",流程蓝图_L3-COM_佣金全链路管理_V1.0.md
FOR,理财师运营支持,"(1, 0)",流程蓝图_L3-FOR_理财师运营支持_V1.0.md
HRD,人力资源体系交付流程,"(1, 0)",流程蓝图_L3-HRD_人力资源体系交付流程_V1.0.md
SSVA,服务结算与价值核算,"(1, 0)",流程蓝图_L3-SSVA_服务结算与价值核算_V1.0.md
CONS,咨询服务执行,"(1, 0)",流程蓝图_L3-CONS_咨询服务执行_V1.0.md
CDS,权益相关商务合同起草与签订,"(1, 0)",流程蓝图_L3-CDS_权益相关商务合同起草与签订_V1.0.md
SPE,战略目标与绩效体系建立,"(1, 0)",流程蓝图_L3-SPE_战略目标与绩效体系建立_V1.0.md
IPI-Onb,产品上架,"(1, 0)",流程蓝图_L3-IPI-Onb_产品上架_V1.0.md
CFRM,客户反馈与权益需求再挖掘,"(1, 0)",流程蓝图_L3-CFRM_客户反馈与权益需求再挖掘_V1.0.md
COCH,教练陪跑服务执行,"(1, 0)",流程蓝图_L3-COCH_教练陪跑服务执行_V1.0.md
ASD,经代机构售后服务流程,"(1, 0)",流程蓝图_L3-ASD_经代机构售后服务流程_V1.0.md
SLCM,权益服务生命周期管理,"(1, 0)",流程蓝图_L3-SLCM_权益服务生命周期管理_V1.0.md
BRND,品牌营销服务执行,"(1, 0)",流程蓝图_L3-BRND_品牌营销服务执行_V1.0.md
CDA,权益客户需求诊断与分析流程,"(1, 0)",流程蓝图_L3-CDA_权益客户需求诊断与分析流程_V1.0.md
IMED,移民教育服务执行,"(1, 0)",流程蓝图_L3-IMED_移民教育服务执行_V1.0.md
FOB,理财师入职与上岗,"(1, 0)",流程蓝图_L3-FOB_理财师入职与上岗_V1.0.md
RSJD,经代机构销售业务执行流程,"(1, 0)",流程蓝图_L3-RSJD_经代机构销售业务执行流程_V1.0.md
KAOE,陪跑与转化,"(1, 1)",流程蓝图_L3-KAOE_陪跑与转化_V1.1.md
IRI,保司资源整合与深度对接,"(1, 1)",流程蓝图_L3-IRI_保司资源整合与深度对接_V1.1.md
KAEM,KA赋能,"(1, 1)",流程蓝图_L3-KAEM_KA赋能_V1.1.md
KAOP,KA上架准备,"(1, 1)",流程蓝图_L3-KAOP_KA上架准备_V1.1.md
IMF,保司市场反馈与数据回流,"(1, 1)",流程蓝图_L3-IMF_保司市场反馈与数据回流_V1.1.md
KAEC,获取KA资源,"(1, 1)",流程蓝图_L3-KAEC_获取KA资源_V1.1.md
