task_id,node_id,node_name,domain,task_name,action_tier,executor_role,executor_dept,assigned_date,deadline,task_status,deliverable_id,deliverable_name,recording_uploaded,gate_unlock_date,remarks
T18-EQ-0001,VN-EQ-01,同行经代服务方案,EQ,建立服务方案框架模板（含个性化方案子模板）,,[权益方案设计岗],,,,未分发,,补齐方案物理产物模板，完成首次标准化交付,N,,等待补建/访谈闭环
T18-EQ-0002,VN-EQ-01,同行经代服务方案,EQ,区分合同与方案的物理形态，建立独立归档路径,,[权益方案设计岗],,,,未分发,,合同和方案各自独立归档，物理形态可区分,N,,等待补建/访谈闭环
T18-EQ-0003,VN-EQ-01,同行经代服务方案,EQ,TA资金合规专款专用排查,,[权益方案设计岗] + [合规管理岗],,,,未分发,,TA资金历史混用调查表，清理后建立专款专用规则,N,,等待补建/访谈闭环
T18-EQ-0004,VN-EQ-01,同行经代服务方案,EQ,建立方案审核通过率的数据验证链路,,[权益方案设计岗],,,,未分发,,Gate③→PASS：方案审核记录可追溯,N,,等待补建/访谈闭环
T18-EQ-0005,VN-EQ-09,权益上市推广素材,EQ,Mark裁定L3-SLM存废：保留并补建 或 删除并入其他L3,,[权益推广团队],,,,未分发,,裁定结论函（保留→启动补建；删除→迁移交付物归属）,N,,等待补建/访谈闭环
T18-EQ-0006,VN-EQ-09,权益上市推广素材,EQ,若保留：明确A角责任人和协作分工矩阵,,[权益推广团队],,,,未分发,,责任人矩阵 + RACI分工表,N,,等待补建/访谈闭环
T18-EQ-0007,VN-EQ-09,权益上市推广素材,EQ,建立推广素材可追溯凭证链（制作记录+审核记录+发布记录）,,[权益推广团队],,,,未分发,,凭证链模板 + 审批记录 + 数据闭环方案,N,,等待补建/访谈闭环
T18-EQ-0008,VN-EQ-09,权益上市推广素材,EQ,实现制作/审核/使用三权物理分离,,[权益推广团队] + [合规管理岗],,,,未分发,,权责分离机制运行，三权不再集中一人,N,,等待补建/访谈闭环
T18-EQ-0009,VN-EQ-09,权益上市推广素材,EQ,若删除：将上市推广素材交付物归属并入VN-EQ-03权益推广素材包,,[权益推广团队],,,,未分发,,归属迁移方案 + 已产出素材清单,N,,等待补建/访谈闭环
T18-FA-0010,VN-FBA-01,月度/季度经营分析报告 ✅ 07-02访谈已覆盖,FA,发布统一经营分析报告模板与数据项清单,,总部经营管理牵头人（待指派）,,,,未分发,,模板v1.0与数据口径文档,N,,
T18-FA-0011,VN-FBA-01,月度/季度经营分析报告 ✅ 07-02访谈已覆盖,FA,定义月度经营分析会最小频次与固定议程,,总部经营管理牵头人（待指派）,,,,未分发,,月度会议制度与全年计划表更新,N,,
T18-FA-0012,VN-FBA-01,月度/季度经营分析报告 ✅ 07-02访谈已覆盖,FA,建立会前数据缺口标注规范,,总部经营管理团队,,,,未分发,,数据缺口标注SOP,N,,
T18-FA-0013,VN-FLM-01,招募计划与执行记录 ✅ 07-02访谈已覆盖,FA,建立统一招募台账字段标准（计划数/完成数/转化率/时间/负责人）,,总部经营管理牵头人 + 分公司组织发展岗,,,,未分发,,招募台账模板v1.0,N,,
T18-FA-0014,VN-FLM-01,招募计划与执行记录 ✅ 07-02访谈已覆盖,FA,建立总部要数机制（频次/提交渠道/格式）,,总部经营管理牵头人,,,,未分发,,要数SOP,N,,
T18-FA-0015,VN-FLM-01,招募计划与执行记录 ✅ 07-02访谈已覆盖,FA,明确缺组织发展岗时的替代报送角色,,分公司负责人,,,,未分发,,招募台账报送规则,N,,
T18-FA-0016,VN-FOR-01,首单陪跑记录 ✅ 07-02访谈已覆盖,FA,设计陪跑记录表（预约/执行/复盘三联）与最小字段,,组织发展经理 + 产品经理,,,,未分发,,陪跑记录表模板v1.0,N,,
T18-FA-0017,VN-FOR-01,首单陪跑记录 ✅ 07-02访谈已覆盖,FA,明确绿色通道触发条件与T+1补录时限,,管理层,,,,未分发,,绿色通道规则（入Mark裁定）,N,,
T18-FA-0018,VN-FOR-01,首单陪跑记录 ✅ 07-02访谈已覆盖,FA,建立总部常态化陪跑数据收集机制,,总部经营管理团队,,,,未分发,,陪跑数据收集SOP,N,,
T18-HR-0019,VN-HR-05,人力资源诊断与改善建议报告,HR,**【前置】完成年度业务规划与人力目标设定**,,管理层（王总）+ HR,,,,未分发,,年度业务规划书 + 人力目标对照表,N,,**根本阻塞：此步骤缺失则后续所有步骤无效**
T18-HR-0020,VN-HR-05,人力资源诊断与改善建议报告,HR,建立人效数据分析框架（维度×频次×负责人）,,HR负责人(袁林),,,,未分发,,人效分析模板v1.0,N,,依赖步骤0
T18-HR-0021,VN-HR-05,人力资源诊断与改善建议报告,HR,建立员工满意度调研机制,,HR负责人(袁林),,,,未分发,,满意度调研问卷+执行计划,N,,依赖步骤0
T18-HR-0022,VN-HR-05,人力资源诊断与改善建议报告,HR,建立改善Action Tracker（到人/到时间/到验收标准）,,HR负责人(袁林)/管理层,,,,未分发,,Action Tracker模板 + 首期改善行动清单,N,,依赖步骤1、2
