schema,table,table_type,role,business_label,表注释,row_count,L1_描述层,L2_关联L3流程,L2_关联L4,L2_数据健康,L2_岗位,L2_状态
comm_sandbox,commission_tier_adjustment,调整记录表,业务数据,佣金档位调整记录表,佣金档位调整记录表：口径已建但当前0行，未产生调整数据,0,comm_sandbox.commission_tier_adjustment当前0行，尚无数据录入。佣金档位调整记录表：口径已建但当前0行，未产生调整数据,L3-COM: 佣金全链路管理,L4-COM-02: 差异化拆解与验证; L4-COM-05: 追溯调整与退保倒扣,未开始录入,佣金管理与合规岗,已定位关联
comm_sandbox,commission_tier_adjustment_history_long,历史记录表,业务数据,佣金档位调整历史归档表,佣金档位调整历史归档表：commission_tier_adjustment的归档版，当前0行,0,comm_sandbox.commission_tier_adjustment_history_long当前0行，尚无数据录入。佣金档位调整历史归档表：commission_tier_adjustment的归档版，当前0行,L3-COM: 佣金全链路管理,L4-COM-05: 追溯调整与退保倒扣,未开始录入,佣金管理与合规岗,已定位关联
comm_sandbox,competitor_rate,其他,业务数据,竞品费率对比表,竞品费率对比表：按产品记录Y1-Y10逐年竞品费率及来源，当前0行未populate,0,comm_sandbox.competitor_rate当前0行，尚无数据录入。竞品费率对比表：按产品记录Y1-Y10逐年竞品费率及来源，当前0行未populate,L3-COM: 佣金全链路管理,L4-COM-01: 佣金政策接收与校准,未开始录入,佣金管理与合规岗,已定位关联
comm_sandbox,config_partner_routing,配置表,业务数据,渠道路由规则表,渠道路由规则表：按保司/业务线/产品/伙伴分类条件，决定佣金归属到哪个牌照(license_code),41,comm_sandbox.config_partner_routing现有41行数据。渠道路由规则表：按保司/业务线/产品/伙伴分类条件，决定佣金归属到哪个牌照(license_code),L3-COM: 佣金全链路管理,L4-COM-12: 应派金额拆分与渠道对账（待注册）,小规模在跑,佣金管理与合规岗,已定位关联
comm_sandbox,config_product_pricing_group,配置表,业务数据,产品定价分组映射表,产品定价分组映射表：product_sku到定价组(pricing_group_id)的归类,31,comm_sandbox.config_product_pricing_group现有31行数据。产品定价分组映射表：product_sku到定价组(pricing_group_id)的归类,,,小规模在跑,,未定位关联——目前只对8/74个L3做过业务数据匹配，其余L3尚未纳入本轮分析范围，不代表这张表真的无关
comm_sandbox,config_quarter,配置表,业务数据,季度日历表,季度日历表：quarter_code与起止日期对照,4,comm_sandbox.config_quarter现有4行数据。季度日历表：quarter_code与起止日期对照,L3-FBA: 理财师业务分析,L4-FBA-01: 月度/季度业绩数据汇总,试点阶段(个位数记录),事业部运营管理岗,已定位关联
comm_sandbox,config_table_type_coefficient,配置表,业务数据,费率折算系数配置,费率折算系数配置：按table_type/premium_term/费率区间的系数换算规则，当前0行未populate,0,comm_sandbox.config_table_type_coefficient当前0行，尚无数据录入。费率折算系数配置：按table_type/premium_term/费率区间的系数换算规则，当前0行未populate,L3-COM: 佣金全链路管理,L4-COM-02: 差异化拆解与验证,未开始录入,佣金管理与合规岗,已定位关联
comm_sandbox,config_table_type_def,配置表,业务数据,佣金制表类型定义表,"佣金制表类型定义表：20种制表类型(如""同行经代B2B"")的业务分类、牌照口径、最长续期年限规则",20,"comm_sandbox.config_table_type_def现有20行数据。佣金制表类型定义表：20种制表类型(如""同行经代B2B"")的业务分类、牌照口径、最长续期年限规则",L3-COM: 佣金全链路管理,L4-COM-01: 佣金政策接收与校准,小规模在跑,佣金管理与合规岗,已定位关联
comm_sandbox,config_table_type_product_scope,配置表,业务数据,制表类型产品范围配置,制表类型产品范围配置：按carrier/product等维度定义某制表类型INCLUDE/EXCLUDE哪些产品,251,comm_sandbox.config_table_type_product_scope现有251行数据。制表类型产品范围配置：按carrier/product等维度定义某制表类型INCLUDE/EXCLUDE哪些产品,L3-COM: 佣金全链路管理,L4-COM-02: 差异化拆解与验证,小规模在跑,佣金管理与合规岗,已定位关联
comm_sandbox,config_table_type_tier_pricing_rules,配置表,业务数据,分档定价规则表,分档定价规则表：按渠道/保司/产品条件匹配fyc/ryc档位及调整系数，是佣金费率计算的规则源之一,109,comm_sandbox.config_table_type_tier_pricing_rules现有109行数据。分档定价规则表：按渠道/保司/产品条件匹配fyc/ryc档位及调整系数，是佣金费率计算的规则源之一,L3-COM: 佣金全链路管理,L4-COM-02: 差异化拆解与验证,小规模在跑,佣金管理与合规岗,已定位关联
comm_sandbox,dim_comm_scheme,维度表,业务数据,佣金方案定义表,佣金方案定义表：方案名称、类型、生效期间,173,comm_sandbox.dim_comm_scheme现有173行数据。佣金方案定义表：方案名称、类型、生效期间,L3-COM: 佣金全链路管理,L4-COM-01: 佣金政策接收与校准,小规模在跑,佣金管理与合规岗,已定位关联
comm_sandbox,fact_commission_tier_rate,事实表,业务数据,佣金分档费率表,佣金分档费率表：按tier_level/customer_type/product_sku等维度的分档费率(Y1-Y10),7639,comm_sandbox.fact_commission_tier_rate现有7639行数据。佣金分档费率表：按tier_level/customer_type/product_sku等维度的分档费率(Y1-Y10),L3-COM: 佣金全链路管理,L4-COM-02: 差异化拆解与验证,规模化在跑,佣金管理与合规岗,已定位关联
comm_sandbox,fact_commission_tier_rate_history_long,事实表,业务数据,佣金分档费率历史归档表,佣金分档费率历史归档表：fact_commission_tier_rate的历史版本，含pricing_trace计算过程字符串，33万+行,337610,comm_sandbox.fact_commission_tier_rate_history_long现有337610行数据。佣金分档费率历史归档表：fact_commission_tier_rate的历史版本，含pricing_trace计算过程字符串，33万+行,,,规模化在跑,,未定位关联——目前只对8/74个L3做过业务数据匹配，其余L3尚未纳入本轮分析范围，不代表这张表真的无关
comm_sandbox,map_commission_plan_scheme,映射表,业务数据,佣金方案代码映射表,佣金方案代码映射表：commission_plan_code对应到scheme_id/table_type/carrier_code,349,comm_sandbox.map_commission_plan_scheme现有349行数据。佣金方案代码映射表：commission_plan_code对应到scheme_id/table_type/carrier_code,,,小规模在跑,,未定位关联——目前只对8/74个L3做过业务数据匹配，其余L3尚未纳入本轮分析范围，不代表这张表真的无关
comm_sandbox,market_publish_change,事件记录表,业务数据,费率发布变更明细表,费率发布变更明细表：记录一次发布事件里每行费率变化前后的值，当前0行,0,comm_sandbox.market_publish_change当前0行，尚无数据录入。费率发布变更明细表：记录一次发布事件里每行费率变化前后的值，当前0行,L3-COM: 佣金全链路管理,L4-COM-03: 佣金整合与外发,未开始录入,佣金管理与合规岗,已定位关联
comm_sandbox,market_publish_event,事件记录表,业务数据,市场费率发布事件表,市场费率发布事件表：当前0行,0,comm_sandbox.market_publish_event当前0行，尚无数据录入。市场费率发布事件表：当前0行,L3-COM: 佣金全链路管理,L4-COM-03: 佣金整合与外发,未开始录入,佣金管理与合规岗,已定位关联
comm_sandbox,market_row_state,状态记录表,业务数据,费率行状态跟踪表,费率行状态跟踪表：逐条费率记录的审核工作流状态(待确认/新增等)+变化原因+发布后的费率快照,3718,comm_sandbox.market_row_state现有3718行数据。费率行状态跟踪表：逐条费率记录的审核工作流状态(待确认/新增等)+变化原因+发布后的费率快照,L3-COM: 佣金全链路管理,L4-COM-02: 差异化拆解与验证,规模化在跑,佣金管理与合规岗,已定位关联
comm_sandbox,market_table_header_state,状态记录表,业务数据,费率表头审批工作流表,费率表头审批工作流表：按table_type×quarter的提交/审批/发布/撤回状态跟踪,20,comm_sandbox.market_table_header_state现有20行数据。费率表头审批工作流表：按table_type×quarter的提交/审批/发布/撤回状态跟踪,L3-COM: 佣金全链路管理,L4-COM-01: 佣金政策接收与校准; L4-COM-18: 收款映射版本管理,小规模在跑,佣金管理与合规岗,已定位关联
comm_sandbox,source_diff_confirm,其他,业务数据,费率来源差异确认表,费率来源差异确认表：当前0行未populate,0,comm_sandbox.source_diff_confirm当前0行，尚无数据录入。费率来源差异确认表：当前0行未populate,L3-COM: 佣金全链路管理,L4-COM-02: 差异化拆解与验证,未开始录入,佣金管理与合规岗,已定位关联
comm_sandbox,v_commission_tier_effective,视图,业务数据,生效佣金费率视图,生效佣金费率视图：在fact_commission_tier_rate基础上应用调整后得到的当前有效费率(含eff_y1-y10/is_adjusted等字段),7384,comm_sandbox.v_commission_tier_effective现有7384行数据。生效佣金费率视图：在fact_commission_tier_rate基础上应用调整后得到的当前有效费率(含eff_y1-y10/is_adjusted等字段),L3-COM: 佣金全链路管理,L4-COM-02: 差异化拆解与验证; L4-COM-05: 追溯调整与退保倒扣,规模化在跑,佣金管理与合规岗,已定位关联
comm_sandbox,v_commission_tier_published,视图,业务数据,已正式发布费率视图,已正式发布费率视图：当前0行，说明目前还没有走完正式发布流程的费率,0,comm_sandbox.v_commission_tier_published当前0行，尚无数据录入。已正式发布费率视图：当前0行，说明目前还没有走完正式发布流程的费率,L3-COM: 佣金全链路管理,L4-COM-03: 佣金整合与外发,未开始录入,佣金管理与合规岗,已定位关联
comm_sandbox,v_payout_ratio_check,视图,业务数据,佣金支出比率校验视图,佣金支出比率校验视图：对比市场费率(mkt)与来源费率(src)算出payout ratio，用于费率健康度检查,7384,comm_sandbox.v_payout_ratio_check现有7384行数据。佣金支出比率校验视图：对比市场费率(mkt)与来源费率(src)算出payout ratio，用于费率健康度检查,L3-COM: 佣金全链路管理,L4-COM-09: 佣金异常检测反欺诈,规模化在跑,佣金管理与合规岗,已定位关联
comm_sandbox,v_qoq_rate_compare,视图,业务数据,费率环比对比视图,费率环比对比视图：同一产品/条件下当季度(cur)与上季度(prev)费率差异对比,7294,comm_sandbox.v_qoq_rate_compare现有7294行数据。费率环比对比视图：同一产品/条件下当季度(cur)与上季度(prev)费率差异对比,L3-COM: 佣金全链路管理,L4-COM-09: 佣金异常检测反欺诈,规模化在跑,佣金管理与合规岗,已定位关联
comm_sandbox,v_tier_rate_readable,视图,业务数据,费率中文可读视图,费率中文可读视图：v_commission_tier_effective的中文字段版(保司/牌照/产品品类等)，供业务人员直接查阅,7384,comm_sandbox.v_tier_rate_readable现有7384行数据。费率中文可读视图：v_commission_tier_effective的中文字段版(保司/牌照/产品品类等)，供业务人员直接查阅,L3-COM: 佣金全链路管理,L4-COM-02: 差异化拆解与验证,规模化在跑,佣金管理与合规岗,已定位关联
fin_sandbox,config_carrier_settlement_schedule_rules,配置表,业务数据,保司结算周期规则配置,保司结算周期规则配置：结算基准类型、偏移月数、容差天数,36,fin_sandbox.config_carrier_settlement_schedule_rules现有36行数据。保司结算周期规则配置：结算基准类型、偏移月数、容差天数,L3-COM: 佣金全链路管理,L4-COM-18: 收款映射版本管理,小规模在跑,佣金管理与合规岗,已定位关联
fin_sandbox,fact_receipt,事实表,业务数据,实收流水主表,实收流水主表：按保单/结算期记录实际到账金额，source_file/batch_id留有ETL导入批次痕迹,1219,fin_sandbox.fact_receipt现有1219行数据。实收流水主表：按保单/结算期记录实际到账金额，source_file/batch_id留有ETL导入批次痕迹,L3-COM: 佣金全链路管理,L4-COM-11: 银行到账确认与实收对账（待注册）; L4-COM-16: 佣金数据导入与格式转换（待注册）,规模化在跑,佣金管理与合规岗,已定位关联
fin_sandbox,fact_receivable,事实表,业务数据,应收明细主表,应收明细主表：按保单记录应收佣金金额、费率、保单年度，是佣金核算的核心事实表,47142,fin_sandbox.fact_receivable现有47142行数据。应收明细主表：按保单记录应收佣金金额、费率、保单年度，是佣金核算的核心事实表,L3-COM: 佣金全链路管理,L4-COM-10: 保单信息整合与应收核算（待注册）,规模化在跑,佣金管理与合规岗,已定位关联
fin_sandbox,fin_sync_history,历史记录表,业务数据,财务数据同步历史日志,财务数据同步历史日志：记录哪张财务表何时从哪个批次同步、影响行数，当前仅1行,1,fin_sandbox.fin_sync_history现有1行数据。财务数据同步历史日志：记录哪张财务表何时从哪个批次同步、影响行数，当前仅1行,,,试点阶段(个位数记录),,未定位关联——目前只对8/74个L3做过业务数据匹配，其余L3尚未纳入本轮分析范围，不代表这张表真的无关
fin_sandbox,match_receipt_receivable,核对匹配表,业务数据,应收实收匹配与差异对照表,应收实收匹配与差异对照表：diff_hkd/diff_pct/diff_category/rate_missing字段直接支持差异检测与异常识别,1154,fin_sandbox.match_receipt_receivable现有1154行数据。应收实收匹配与差异对照表：diff_hkd/diff_pct/diff_category/rate_missing字段直接支持差异检测与异常识别,L3-COM: 佣金全链路管理,L4-COM-09: 佣金异常检测反欺诈; L4-COM-11: 银行到账确认与实收对账（待注册）,规模化在跑,佣金管理与合规岗,已定位关联
public,agg_market_commission_tier_rate,汇总表,业务数据,市场佣金费率汇总宽表,市场佣金费率汇总宽表：合作伙伴层级+保司+产品维度的费率明细，含Y1-Y10逐年总佣金/基础/超额/SMPA拆分,7518,public.agg_market_commission_tier_rate现有7518行数据。市场佣金费率汇总宽表：合作伙伴层级+保司+产品维度的费率明细，含Y1-Y10逐年总佣金/基础/超额/SMPA拆分,L3-COM: 佣金全链路管理,L4-COM-08: 跨保司佣金整合,规模化在跑,佣金管理与合规岗,已定位关联
public,agg_sales_base,汇总表,业务数据,销售业务基础汇总表,销售业务基础汇总表：订单粒度，含保单号/产品/保费/APE/预约-签单-递交-批核各环节日期与签批时效天数，是agg_source_commission_wide等下游表的基础,6399,public.agg_sales_base现有6399行数据。销售业务基础汇总表：订单粒度，含保单号/产品/保费/APE/预约-签单-递交-批核各环节日期与签批时效天数，是agg_source_commission_wide等下游表的基础,L3-FBA: 理财师业务分析; L3-RSJD: 经代机构销售业务执行流程,L4-FBA-01: 月度/季度业绩数据汇总; L4-RSJD-02: 财务模型测算,规模化在跑,事业部运营管理岗; 保单服务岗,已定位关联
public,agg_sales_base_etl_scope,汇总表,业务数据,agg_sales_base的ETL抽取范围参数记录表(记录抽取用的起止日期字段),agg_sales_base的ETL抽取范围参数记录表(记录抽取用的起止日期字段),30,public.agg_sales_base_etl_scope现有30行数据。agg_sales_base的ETL抽取范围参数记录表(记录抽取用的起止日期字段),,,小规模在跑,,未定位关联——目前只对8/74个L3做过业务数据匹配，其余L3尚未纳入本轮分析范围，不代表这张表真的无关
public,agg_source_commission_wide,汇总表,业务数据,来源佣金费率宽表,来源佣金费率宽表：按carrier/license/产品维度的费率明细，含basic/extra/smpa/fyc/ryc多档位Y1-Y10费率,5734,public.agg_source_commission_wide现有5734行数据。来源佣金费率宽表：按carrier/license/产品维度的费率明细，含basic/extra/smpa/fyc/ryc多档位Y1-Y10费率,L3-COM: 佣金全链路管理,L4-COM-08: 跨保司佣金整合,规模化在跑,佣金管理与合规岗,已定位关联
public,auth_audit_log,系统表,系统数据,本数据系统(非保险业务)的用户登录/操作审计日志，与保险业务流程无关,本数据系统(非保险业务)的用户登录/操作审计日志，与保险业务流程无关,47,public.auth_audit_log现有47行数据。本数据系统(非保险业务)的用户登录/操作审计日志，与保险业务流程无关,,,小规模在跑,,已核实与业务无关(系统表)
public,auth_sessions,系统表,系统数据,本数据系统的登录会话表，与保险业务流程无关,本数据系统的登录会话表，与保险业务流程无关,18,public.auth_sessions现有18行数据。本数据系统的登录会话表，与保险业务流程无关,,,小规模在跑,,已核实与业务无关(系统表)
public,auth_users,系统表,系统数据,本数据系统的用户账号表，当前仅1个admin账号，与保险业务流程无关,本数据系统的用户账号表，当前仅1个admin账号，与保险业务流程无关,1,public.auth_users现有1行数据。本数据系统的用户账号表，当前仅1个admin账号，与保险业务流程无关,,,试点阶段(个位数记录),,已核实与业务无关(系统表)
public,bridge_partner_ka,桥接表,业务数据,渠道伙伴-KA归属桥接表,渠道伙伴-KA归属桥接表：伙伴的团队、推荐人、上下级关系,704,public.bridge_partner_ka现有704行数据。渠道伙伴-KA归属桥接表：伙伴的团队、推荐人、上下级关系,,,小规模在跑,,未定位关联——目前只对8/74个L3做过业务数据匹配，其余L3尚未纳入本轮分析范围，不代表这张表真的无关
