gap_id,node_id,node_name,domain,description,gap_type,gap_subtype,priority,extractability,status,resolution_note,linked_rule_id,linked_recording_md,sop_status,sop_field_affected,resolution_date
EQ-G001,VN-EQ-02,,EQ,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
EQ-G002,VN-EQ-03,,EQ,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
EQ-G003,VN-EQ-04,,EQ,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
EQ-G004,VN-EQ-05,,EQ,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
EQ-G005,VN-EQ-06,,EQ,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
EQ-G006,VN-EQ-07,,EQ,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
EQ-G007,VN-EQ-08,,EQ,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
EQ-G008,VN-EQ-10,,EQ,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
FA-G001,VN-FOB-01,,FA,协议包寄送总部归档后，邮寄时效、签收确认和归档完整性都没有系统追踪,流程空白,流程空白,P1,partial,,本条为节点级粗粒度描述，与FA-G011/FA-G013/FA-G015/FA-G017(分别对应转介协议/权益协议/培训协议/顾问协议签署版4个子产物)为同一根因的不同颗粒度表述，建议以这4条子产物级记录为权威细分版本，本条保留作汇总参考,,,未生成,,
FA-G002,VN-FBA-01,月度/季度经营分析报告,FA,川渝已形成经营分析模型，其他分公司去年下半年起新增，经营分析能力薄弱,熔断缺口,三层递进暂停-需补建,P1,partial,,,,,未生成,,
FA-G003,VN-FLM-01,招募计划与执行记录,FA,总部未统一收集招募计划；年初仅有大数要求；各分公司执行有差异,熔断缺口,三层递进暂停-需补建,P1,partial,,,,,未生成,,
FA-G004,VN-FOB-02,新人90天培养计划,FA,成都重庆已有成熟模型，但新分公司正在整合中；尚未标准化为全公司统一模板,熔断缺口,三层递进暂停-需补建,P1,partial,,,,,未生成,,
FA-G005,VN-FOR-01,首单陪跑记录,FA,多角色跟进，但记录可能未标准化；缺乏统一的陪跑质量评估标准,熔断缺口,三层递进暂停-需补建,P1,partial,,,,,未生成,,
