agent_code,agent_name,agent_type,agent_status,l3_primary,l4_count_covered,tech_stack,platform_path,owner_position_family,m4_priority,go_live_date,baseline_accuracy,baseline_throughput
agent-actv-01,服务需求提交,Hybrid,规划中,L3-ACTV,1,流程自动化+任务调度+状态跟踪,,,P2,,,
agent-actv-02,服务处理与执行,Hybrid,规划中,L3-ACTV,1,流程自动化+任务调度+状态跟踪,,,P2,,,
agent-actv-03,服务确认与反馈,Hybrid,规划中,L3-ACTV,1,流程自动化+任务调度+状态跟踪,,,P2,,,
agent-asd-01,售后服务执行与质量监控,Hybrid,规划中,L3-ASD,1,流程自动化+任务调度+状态跟踪,,,P2,,,
agent-brnd-01,服务需求提交,Hybrid,规划中,L3-BRND,1,流程自动化+任务调度+状态跟踪,,,P2,,,
agent-brnd-02,服务处理与执行,Hybrid,规划中,L3-BRND,1,流程自动化+任务调度+状态跟踪,,,P2,,,
agent-brnd-03,服务确认与反馈,Hybrid,规划中,L3-BRND,1,流程自动化+任务调度+状态跟踪,,,P2,,,
agent-bsrv-01,日常运营协同,Hybrid,规划中,L3-BSRV,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-bsrv-02,结算与评估,Hybrid,规划中,L3-BSRV,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-cas-01,竞争策略制定,Hybrid,规划中,L3-CAS,1,数据辅助+流程支持,,,P2,,,
agent-cas-02,获客策略设计,Hybrid,规划中,L3-CAS,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-cas-03,战术整合,Hybrid,规划中,L3-CAS,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-cbd-01,永明源头佣金差异化拆解,Aug,规划中,L3-CBD,1,规则引擎+合规检查+自动预警,,,P1,,,
agent-cbd-02,拆解结果合规验证,Aug,规划中,L3-CBD,1,规则引擎+合规检查+自动预警,,,P1,,,
agent-cda-01,需求收集与初步确认,Hybrid,规划中,L3-CDA,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-cda-02, 内部需求分析,Hybrid,规划中,L3-CDA,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-cds-01,起草合同要点确认,Hybrid,规划中,L3-CDS,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-cds-02,签署核对与完成,Aug,规划中,L3-CDS,1,规则引擎+数据处理+API调用,,,P1,,,
agent-cfrm-01,信息收集与洞察,Hybrid,规划中,L3-CFRM,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-cfrm-02,机会分析与方案设计,Hybrid,规划中,L3-CFRM,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-cob-01,服务项目启动,Hybrid,规划中,L3-COB,1,流程自动化+任务调度+状态跟踪,,,P2,,,
agent-cob-02,系统与账户初始化,Aug,规划中,L3-COB,1,规则引擎+数据处理+API调用,,,P1,,,
agent-cob-03,客户赋能,Hybrid,规划中,L3-COB,1,流程自动化+任务调度+状态跟踪,,,P2,,,
agent-coch-01,服务需求提交,Hybrid,规划中,L3-COCH,1,流程自动化+任务调度+状态跟踪,,,P2,,,
agent-coch-02,服务处理与执行,Hybrid,规划中,L3-COCH,1,流程自动化+任务调度+状态跟踪,,,P2,,,
agent-coch-03,服务确认与反馈,Hybrid,规划中,L3-COCH,1,流程自动化+任务调度+状态跟踪,,,P2,,,
agent-com-01,佣金政策接收与校准,Aug,规划中,L3-COM,1,OCR+NLP解析,,,P1,,,
agent-com-02,差异化拆解与验证,Aug,规划中,L3-COM,1,规则引擎+冲突检测,,,P1,,,
agent-com-03,佣金整合与外发,Auto,规划中,L3-COM,1,规则引擎+结算系统,,,P0,,,
agent-com-04,年度预算与规划,Hybrid,规划中,L3-COM,1,财务建模+预测,,,P2,,,
agent-com-05,追溯调整与退保倒扣,Auto,规划中,L3-COM,1,事件驱动+规则计算,,,P0,,,
agent-com-06,佣金税务处理,Auto,规划中,L3-COM,1,规则+税务API,,,P0,,,
agent-com-07,佣金争议处理,Hybrid,规划中,L3-COM,1,争议工单+历史判例,,,P2,,,
agent-com-08,跨保司佣金整合,Aug,规划中,L3-COM,1,多源数据整合,,,P1,,,
agent-com-09,佣金异常检测反欺诈,Auto,规划中,L3-COM,1,ML模型+规则引擎,,,P0,,,
agent-cons-01,服务需求提交,Hybrid,规划中,L3-CONS,1,流程自动化+任务调度+状态跟踪,,,P2,,,
agent-cons-02,服务处理与执行,Hybrid,规划中,L3-CONS,1,流程自动化+任务调度+状态跟踪,,,P2,,,
agent-cons-03,服务确认与反馈,Hybrid,规划中,L3-CONS,1,流程自动化+任务调度+状态跟踪,,,P2,,,
agent-cpm-01,监控指标与看板设计,Aug,规划中,L3-CPM,1,KPI模板+数据对接,,,P1,,,
agent-cpm-02,数据采集与实时监控,Auto,规划中,L3-CPM,1,数据管道+告警,,,P0,,,
agent-cpm-03,定期深度分析,Aug,规划中,L3-CPM,1,分析模板+数据挖掘,,,P1,,,
agent-cpm-04,优化建议评审,Hybrid,规划中,L3-CPM,1,建议库+ROI评估,,,P2,,,
agent-cpm-05,优化执行与闭环,Aug,规划中,L3-CPM,1,任务下发+追溯,,,P1,,,
agent-crr-06,服务周期数据汇总,Auto,规划中,L3-CRR,1,数据聚合+模板生成,,,P0,,,
agent-crr-07,成效回顾会议,Hybrid,规划中,L3-CRR,1,数据包装+议程模板,,,P2,,,
agent-crr-08,新需求识别与业务机会,Aug,规划中,L3-CRR,1,对话挖掘+推荐模型,,,P1,,,
agent-crr-09,续约方案设计,Aug,规划中,L3-CRR,1,方案模板+定价,,,P1,,,
agent-crr-10,续约谈判与决议,Hybrid,规划中,L3-CRR,1,谈判辅助,,,P2,,,
agent-cvi-01,永明与非永明佣金多源整合验证,Hybrid,规划中,L3-CVI,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-cvi-02,佣金标准化外发,Aug,规划中,L3-CVI,1,规则引擎+合规检查+自动预警,,,P1,,,
agent-dtva-01,数据采集与监控看板搭建,Aug,规划中,L3-DTVA,1,规则引擎+数据处理+API调用,,,P1,,,
agent-dtva-02,绩效分析与根因诊断,Aug,规划中,L3-DTVA,1,规则引擎+数据处理+API调用,,,P1,,,
agent-dtva-03,价值评估与成果提炼,Hybrid,规划中,L3-DTVA,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-efb-01,周度任务规划下达,Aug,规划中,L3-EFB,1,任务模板+优先级,,,P1,,,
agent-efb-02,任务执行与进度同步,Auto,规划中,L3-EFB,1,自动追踪+同步,,,P0,,,
agent-efb-03,执行反馈收集,Auto,规划中,L3-EFB,1,结构化表单+NLP,,,P0,,,
agent-efb-04,问题识别与响应,Aug,规划中,L3-EFB,1,分级规则+路由,,,P1,,,
agent-efb-05,周度闭环,Auto,规划中,L3-EFB,1,自动生成+数据管道,,,P0,,,
agent-efb-06,任务优先级动态调整,Aug,规划中,L3-EFB,1,事件驱动+规则,,,P1,,,
agent-efb-07,跨机构任务依赖管理,Auto,规划中,L3-EFB,1,图算法+追溯,,,P0,,,
agent-efb-08,任务激励机制,Aug,规划中,L3-EFB,1,规则引擎+质量评估,,,P1,,,
agent-efb-10,机构自主任务纳管,Hybrid,规划中,L3-EFB,1,评估+纳管,,,P2,,,
agent-efb-12,任务执行AI自动化,Auto,规划中,L3-EFB,1,自动化引擎,,,P0,,,
agent-eo-01,业绩数据与分级规则引擎,Auto,规划中,L3-EO,1,规则引擎+数据,,,P0,,,
agent-eo-02,分级公示与申诉,Auto,规划中,L3-EO,1,自动公示+申诉处理,,,P0,,,
agent-eo-03,权益包配置与兑现,Auto,规划中,L3-EO,1,配置引擎+发放,,,P0,,,
agent-eo-04,分级与权益效果监控,Auto,规划中,L3-EO,1,数据分析,,,P0,,,
agent-eo-06,新人保底权益,Auto,规划中,L3-EO,1,规则+自动发放,,,P0,,,
agent-eo-07,团队长带团权益,Auto,规划中,L3-EO,1,规则+自动发放,,,P0,,,
agent-eo-08,追溯调整,Auto,规划中,L3-EO,1,事件驱动+联动L3-COM,,,P0,,,
agent-eo-09,个性化定制,Hybrid,规划中,L3-EO,1,需求分析+方案,,,P2,,,
agent-fba-01,月度目标分解与签订,Aug,规划中,L3-FBA,1,分解算法+签订,,,P1,,,
agent-fba-02,日常客户经营,Hybrid,规划中,L3-FBA,1,CRM+工具包,,,P2,,,
agent-fba-03,周度业绩跟踪督导,Hybrid,规划中,L3-FBA,1,数据+督导,,,P2,,,
agent-fba-04,月度基本法结算复盘,Auto,规划中,L3-FBA,1,规则引擎,,,P0,,,
agent-fba-05,季度评估等级调整,Auto,规划中,L3-FBA,1,规则+评估,,,P0,,,
agent-fba-06,客户生命周期分层,Auto,规划中,L3-FBA,1,数据分层+动作,,,P0,,,
agent-fba-07,交叉销售机会识别,Auto,规划中,L3-FBA,1,推荐模型,,,P0,,,
agent-fba-08,客户流失预警召回,Auto,规划中,L3-FBA,1,ML+触达,,,P0,,,
agent-fba-09,理财师个人品牌建设,Hybrid,规划中,L3-FBA,1,内容生成,,,P2,,,
agent-fba-10,客户转介绍机制,Aug,规划中,L3-FBA,1,规则+奖励,,,P1,,,
agent-fba-11,理财师心理情绪管理,Hybrid,规划中,L3-FBA,1,识别+资源,,,P2,,,
agent-fba-12,市场变化应对培训,Aug,规划中,L3-FBA,1,内容制作+分发,,,P1,,,
agent-fba-13,团队知识资源共享,Auto,规划中,L3-FBA,1,知识库,,,P0,,,
agent-flm-01,策略制定与下发,Aug,规划中,L3-FLM,1,策略库+自动下发,,,P1,,,
agent-flm-02,分公司落地动员,Hybrid,规划中,L3-FLM,1,目标分解+督导,,,P2,,,
agent-flm-03,多渠道获取执行,Hybrid,规划中,L3-FLM,1,CRM+自动化,,,P2,,,
agent-flm-04,线索评估分级,Aug,规划中,L3-FLM,1,评估模型,,,P1,,,
agent-flm-05,月度质量复盘,Aug,规划中,L3-FLM,1,数据分析+建议,,,P1,,,
agent-flm-06,多来源去重,Auto,规划中,L3-FLM,1,规则+去重引擎,,,P0,,,
agent-flm-07,线索保护期,Auto,规划中,L3-FLM,1,规则引擎+时间窗,,,P0,,,
agent-flm-08,转化漏斗分析,Auto,规划中,L3-FLM,1,数据分析,,,P0,,,
agent-flm-09,老带新激励,Auto,规划中,L3-FLM,1,规则+发放,,,P0,,,
agent-flm-10,候选人黑名单筛查,Auto,规划中,L3-FLM,1,规则+数据库,,,P0,,,
agent-flm-11,长期培养线索池,Aug,规划中,L3-FLM,1,CRM+触达,,,P1,,,
agent-flm-12,跨平台线索对接,Aug,规划中,L3-FLM,1,API+爬虫,,,P1,,,
agent-flm-13,线索数据隐私合规,Auto,规划中,L3-FLM,1,规则+审计,,,P0,,,
agent-fob-01,合同签署与基本法归属,Auto,规划中,L3-FOB,1,合同系统自动化,,,P0,,,
agent-fob-02,背景调查与合规培训,Aug,规划中,L3-FOB,1,合规系统+LMS,,,P1,,,
agent-fob-03,牌照挂靠与监管备案,Aug,规划中,L3-FOB,1,监管系统对接,,,P1,,,
agent-fob-04,系统权限与工具配置,Auto,规划中,L3-FOB,1,SSO自动开通,,,P0,,,
agent-fob-05,入职完成就绪确认,Aug,规划中,L3-FOB,1,checklist+确认,,,P1,,,
agent-fob-06,入职前心理预期对齐,Hybrid,规划中,L3-FOB,1,材料+讲解,,,P2,,,
agent-fob-07,导师制匹配,Aug,规划中,L3-FOB,1,匹配算法+跟进,,,P1,,,
agent-fob-08,试用期管理,Aug,规划中,L3-FOB,1,考核+评估,,,P1,,,
agent-fob-09,入职培训前置,Aug,规划中,L3-FOB,1,LMS自动化,,,P1,,,
agent-fob-10,资格考试辅导,Aug,规划中,L3-FOB,1,题库+模拟,,,P1,,,
agent-fob-12,体检与健康申报,Auto,规划中,L3-FOB,1,系统对接,,,P0,,,
agent-fob-13,跨区域入职处理,Aug,规划中,L3-FOB,1,远程流程自动化,,,P1,,,
agent-for-01,陪跑计划与冷启动,Aug,规划中,L3-FOR,1,计划模板+匹配,,,P1,,,
agent-for-02,沙龙组织与触达,Hybrid,规划中,L3-FOR,1,活动系统+CRM,,,P2,,,
agent-for-04,方案定制与促成,Hybrid,规划中,L3-FOR,1,方案+计算,,,P2,,,
agent-for-05,首单结算与评估,Auto,规划中,L3-FOR,1,自动化+评估,,,P0,,,
agent-for-06,陪跑前客户预筛,Aug,规划中,L3-FOR,1,评分+排序,,,P1,,,
