rule_id,node_id,rule_name,rule_class,rule_trigger,rule_action,rule_standard,rule_exception,rule_owner,data_anchor,externalized,gap_type,gap_description,priority,source,round,source_recording,version,legacy_rule_id,domain
HR-R003,VN-HR-03,员工劳动合同归档（内地）,A类,员工入职手续办理完成后,1.内地员工劳动合同由刘丽（音）负责；2.新签合同先做临时存放；3.定期梳理临时存放合同；4.完成梳理后扫描生成电子扫描件并归档；5.纸质版合同原件在单独指定地点存放,每份内地员工劳动合同都有对应的电子扫描件和妥善存放的纸质原件,香港员工劳动合同由其他部门管理，不在此流程范围,刘丽,员工劳动合同扫描件,口头经验,,,P1,访谈003·员工劳动合同管理提问（2026-07-03 HRBP访谈）,1,07-03 访谈：人力资源管理体系现状,v1.0,EFA003-R002,HR
HR-R004,VN-HR-04,绩效考核结果存档与晋调薪应用,A类,每轮绩效考核结束后,1.将当期绩效考核结果（部门、人员、考核周期、结果/分数）汇总到一张Excel历史表中；2.员工进行晋升或调薪评估时，回顾此历史表，查看最近几期绩效表现作为决策参考,绩效结果准确录入历史表，可供追溯,该机制从2025年开始建立（天津可能更早），更早数据不可追溯；当前无明确奖金制度与此挂钩,HRBP,绩效历史表.xlsx,口头经验,,,P1,访谈003·绩效考核结果提问（2026-07-03 HRBP访谈）,1,07-03 访谈：人力资源管理体系现状,v1.0,EFA003-R003,HR
HR-R005,VN-HR-07,TR招聘与入职流程,A类,牌照业务负责人（如飞哥）根据业务规划提出TR招聘需求,1.HRBP接收招聘需求并评估编制；2.主要通过大湾区青年就业计划（GBA）或内推渠道招聘；3.HRBP办理员工入职手续，签订劳动合同（初始合同一般签在GM主体）；4.HRBP配合业务部门组织新TR入职培训（签到、协调）；5.TR转正后如需转换挂靠牌照公司（如转到九福），HRBP负责办理合同转换手续,TR的入职和合同转换手续合规完成,针对有经验TR或RO的招聘需背景调查，但目前TR多为应届生，故未执行,HRBP,员工劳动合同,口头经验,,,P1,访谈003·TR招聘入职提问（2026-07-03 HRBP访谈）,1,07-03 访谈：人力资源管理体系现状,v1.0,EFA003-R005,HR
PARTNER-R001,VN-IBRD-01,九富vsUniwin适用场景规则,A类,新渠道洽谈或现有渠道评估合作路径时,根据渠道业务模式推荐：转介市场/抢单场景→九富(高首年佣金)；代理人团队/长期经营→Uniwin(总佣高10%),渠道确认业务模式后匹配推荐路径，渠道签约后首年业绩达预期,已合作成熟渠道且业绩清晰，可同时开通两条路径(天翼/紫金/保盛已开通),渠道管理部门负责人+产品定价策略负责人,渠道合作路径·佣金结构(首年/Total),口头经验,,,P1,信号1·DIAGNOSIS,1,IBRD001_规则清单_菲菲momo_v1.0(原始docx对应录音),v1.0,IBRD001-R001,PARTNER
PARTNER-R002,VN-IBRD-01,双路径开通资格规则,A类,渠道申请或评估是否需要开通双路径(九富+Uniwin),须同时满足：已合作一段时间+业务模式清晰+有一定业绩体量，方可开放双路径,三者全部满足，已合作的渠道至少持续一个稳定产出周期,新渠道不可直接开放双路径；模式不清/业绩未验证的渠道不可开放,渠道管理负责人+菲菲/MOMO(评估)+Amy(交付),渠道管理·双路径资格清单,口头经验,,,P2,信号1·DIAGNOSIS,1,IBRD001_规则清单_菲菲momo_v1.0(原始docx对应录音),v1.0,IBRD001-R002,PARTNER
PARTNER-R003,VN-IBRD-01,Uniwin总佣高10%计算基准规则,A类,渠道选择Uniwin路径，需要说明佣金优势时,以九富的Total佣金为比较基准，Uniwin的Total佣金高10%,10%差额经商务确认比较口径(同保司/同产品/Total口径),具体产品组合差异可能导致实际差额浮动,菲菲/MOMO(计算确认)+商务(口径对齐),渠道佣金对比·九富vsUniwin Total,口头经验,,,P1,信号1·DIAGNOSIS,1,IBRD001_规则清单_菲菲momo_v1.0(原始docx对应录音),v1.0,IBRD001-R003,PARTNER
PARTNER-R004,VN-IBRD-01,股东穿透查册规则,A类,新渠道引入或存量渠道补充DD时,对合作方法人主体进行股东穿透查册，遇公司股东继续穿透至下一层，直至最终自然人股东为止,所有股东层层穿透到自然人，查册报告完整归档,同一股东控制多家渠道的情况须特别标注关联性,财务部(查册执行)+CO/合规(审核),DD查册报告·股东穿透结果,口头经验,,,P0,信号2·EXECUTION,1,IBRD001_规则清单_菲菲momo_v1.0(原始docx对应录音),v1.0,IBRD001-R004,PARTNER
PARTNER-R005,VN-IBRD-01,AML查询+风险三级评估规则,A类,CO收到DD Form后,进行反洗钱(AML)查询，并基于查册报告+DD Form+AML结果出具中/高/低三级风险评估表,风险评估表含明确风险等级(中/高/低)和评级依据,高风险渠道须升级至Mark/管理层审批后方可签约,CO/合规负责人(Teresa),AML查询结果·风险评估表,口头经验,,,P0,信号2·EXECUTION,1,IBRD001_规则清单_菲菲momo_v1.0(原始docx对应录音),v1.0,IBRD001-R005,PARTNER
PARTNER-R006,VN-IBRD-01,DD Form回收时效规则,A类,向潜在渠道发出DD Form后,以3-5个工作日为正常回收时效预期；超期未响应触发催办,3-5个工作日内渠道回传完整DD Form,渠道有合理原因(如股东信息收集复杂)可申请延至10个工作日,菲菲/MOMO(发出+催办)+RO(审核),DD Form·回收时效,口头经验,,,P1,信号2·EXECUTION,1,IBRD001_规则清单_菲菲momo_v1.0(原始docx对应录音),v1.0,IBRD001-R006,PARTNER
PARTNER-R007,VN-IBRD-01,DD年度更新规则,A类,已签约渠道合作满一年,每年对已签约渠道重新进行一次DD更新(行业惯例),DD更新覆盖全部已签约渠道，年度更新记录归档,保司(如永明)提高尽调标准时须立即触发补DD,CO/合规(Teresa)+菲菲/MOMO(执行),DD档案·年度更新记录,口头经验,,,P1,信号2·EXECUTION,1,IBRD001_规则清单_菲菲momo_v1.0(原始docx对应录音),v1.0,IBRD001-R007,PARTNER
