signal_id,node_id,content,source,confidence,rule_subtype,completeness,l_layer,rule_trigger,rule_action,rule_standard,rule_exception,rule_owner,externalized,round,source_recording
SIG-0001,VN-EQ-03,PPT/海报/文案,待访谈确认,,权益海报,,,,,,,,,,
SIG-0002,VN-EQ-03,PPT/海报/文案,待访谈确认,,权益PPT,,,,,,,,,,
SIG-0003,VN-EQ-03,PPT/海报/文案,待访谈确认,,宣达话术文案,,,,,,,,,,
SIG-0004,VN-EQ-05,Excel登记表,待访谈确认,,已签权益商务合同,,,,,,,,,,
SIG-0005,VN-EQ-05,Excel登记表,待访谈确认,,RW协议登记表,,,,,,,,,,
SIG-0006,VN-EQ-06,PPT/文档,待访谈确认,,权益包内训PPT,,,,,,,,,,
SIG-0007,VN-EQ-06,PPT/文档,待访谈确认,,权益方案宣达文档,,,,,,,,,,
SIG-0008,VN-EQ-06,PPT/文档,待访谈确认,,日常权益答疑指南,,,,,,,,,,
SIG-0009,VN-EQ-09,PPT/海报/文案,待访谈确认,,权益上市海报,,,,,,,,,,
SIG-0010,VN-EQ-09,PPT/海报/文案,待访谈确认,,上市PPT,,,,,,,,,,
SIG-0011,VN-EQ-09,PPT/海报/文案,待访谈确认,,宣达文案,,,,,,,,,,
SIG-0012,VN-EQ-10,系统导出/Excel,待访谈确认,,理财师分级结果公示清单,,,,,,,,,,
SIG-0013,VN-FBA-01,子产物数量：4个,Sheet2·子产物数量,,A类,,,,,,,,,,
SIG-0014,VN-FBA-01,L4名称：1.业绩收集；2.活动率分析；3.转化追踪；4.经营分析,Sheet2·L4名称,,A类,,,,,,,,,,
SIG-0015,VN-FBA-01,L4现状：正常,Sheet2·L4现状,,A类,,,,,,,,,,
SIG-0016,VN-FBA-01,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0017,VN-FBA-01,频次：每月1次,Sheet2·频次,,C类,,,,,,,,,,
SIG-0018,VN-FBA-01,L4 输出 《月度业绩报表》，支撑流程闭环,Sheet2·价值属性,,C类,,,,,,,,,,
SIG-0019,VN-FBA-01,数据验证状态：跑通中,Sheet2·数据验证,,C类,,,,,,,,,,
SIG-0020,VN-FLM-01,子产物数量：3个,Sheet2·子产物数量,,A类,,,,,,,,,,
SIG-0021,VN-FLM-01,L4名称：招募计划制定,Sheet2·L4名称,,A类,,,,,,,,,,
SIG-0022,VN-FLM-01,L4现状：正常,Sheet2·L4现状,,A类,,,,,,,,,,
SIG-0023,VN-FLM-01,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0024,VN-FLM-01,频次：每季度1次,Sheet2·频次,,C类,,,,,,,,,,
SIG-0025,VN-FLM-01,L4 输出 《招募线索登记表》，支撑流程闭环,Sheet2·价值属性,,C类,,,,,,,,,,
SIG-0026,VN-FLM-01,数据验证状态：跑通中,Sheet2·数据验证,,C类,,,,,,,,,,
SIG-0027,VN-FOB-01,子产物数量：4个,Sheet2·子产物数量,,A类,,,,,,,,,,
SIG-0028,VN-FOB-01,L4名称：1.转介协议签署；2.权益；3.培训；4.顾问协议签署,Sheet2·L4名称,,A类,,,,,,,,,,
SIG-0029,VN-FOB-01,L4现状：正常,Sheet2·L4现状,,A类,,,,,,,,,,
SIG-0030,VN-FOB-01,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0031,VN-FOB-01,频次：按需执行,Sheet2·频次,,C类,,,,,,,,,,
