node_id,sop_status_ref,handoff_status,handoff_date,ait_breakdown_status,pilot_flag,decision_ref,next_action,last_updated
VN-EQ-01,,未移交,,,FALSE,,,2026-07-26
VN-EQ-02,,未移交,,,FALSE,,,2026-07-26
VN-EQ-03,,未移交,,,FALSE,,,2026-07-26
VN-EQ-04,,未移交,,,FALSE,,,2026-07-26
VN-EQ-05,,未移交,,,FALSE,,,2026-07-26
VN-EQ-06,,未移交,,,FALSE,,,2026-07-26
VN-EQ-07,,未移交,,,FALSE,,,2026-07-26
VN-EQ-08,,未移交,,,FALSE,,,2026-07-26
VN-EQ-09,,未移交,,,FALSE,,,2026-07-26
VN-EQ-10,,未移交,,,FALSE,,,2026-07-26
VN-FBA-01,草稿中,未移交,,,FALSE,,,2026-07-26
VN-FLM-01,草稿中,未移交,,,FALSE,,,2026-07-26
VN-FOB-01,草稿中,未移交,,,FALSE,,,2026-07-26
VN-FOB-02,草稿中,未移交,,,FALSE,,,2026-07-26
VN-FOR-01,,未移交,,,FALSE,,,2026-07-26
VN-FOR-02,草稿中,未移交,,,FALSE,,,2026-07-26
VN-FPG-01,草稿中,未移交,,,FALSE,,,2026-07-26
VN-FPG-02,草稿中,未移交,,,FALSE,,,2026-07-26
VN-FTR-01,草稿中,未移交,,,FALSE,,,2026-07-26
VN-HR-03,草稿中,未移交,,,FALSE,,,2026-07-26
VN-HR-04,草稿中,未移交,,,FALSE,,,2026-07-26
VN-HR-05,,未移交,,,FALSE,,,2026-07-26
VN-HR-06,,未移交,,,FALSE,,,2026-07-26
VN-HR-07,草稿中,未移交,,,FALSE,,,2026-07-26
VN-HR-08,,未移交,,,FALSE,,,2026-07-26
VN-HR-09,草稿中,未移交,,,FALSE,,,2026-07-26
VN-HR-10,,未移交,,,FALSE,,,2026-07-26
VN-HR-11,草稿中,未移交,,,FALSE,,,2026-07-26
VN-HR-12,草稿中,未移交,,,FALSE,,,2026-07-26
VN-HR-13,草稿中（熔断节点VN-HR-06岗位编制方案，但本节点VN-HR-13为非熔断）,未移交,,,FALSE,,,2026-07-26
VN-HR-14,草稿中,未移交,,,FALSE,,,2026-07-26
VN-HRD-01,草稿中,未移交,,,FALSE,,,2026-07-26
VN-HRD-02,草稿中,未移交,,,FALSE,,,2026-07-26
VN-INS-01,,未移交,,,FALSE,,,2026-07-26
VN-INS-02,,未移交,,,FALSE,,,2026-07-26
VN-INS-03,,未移交,,,FALSE,,,2026-07-26
VN-INS-04,,未移交,,,FALSE,,,2026-07-26
VN-INS-05,,未移交,,,FALSE,,,2026-07-26
VN-INS-06,,未移交,,,FALSE,,,2026-07-26
VN-INS-07,,未移交,,,FALSE,,,2026-07-26
VN-INS-08,,未移交,,,FALSE,,,2026-07-26
VN-INS-09,,未移交,,,FALSE,,,2026-07-26
VN-INS-10,,未移交,,,FALSE,,,2026-07-26
VN-KAEM-01,,未移交,,,FALSE,,,2026-07-26
VN-KAEM-02,,未移交,,,FALSE,,,2026-07-26
VN-KAET-01,,未移交,,,FALSE,,,2026-07-26
VN-KAGA-01,,未移交,,,FALSE,,,2026-07-26
VN-KAOP-01,,未移交,,,FALSE,,,2026-07-26
VN-KASC-01,,未移交,,,FALSE,,,2026-07-26
VN-IBRD-01,,未移交,,,FALSE,,,2026-07-26
VN-MGA-01,,未移交,,,FALSE,,,2026-07-26
VN-MGA-02,,未移交,,,FALSE,,,2026-07-26
VN-MGA-03,,未移交,,,FALSE,,,2026-07-26
VN-RSJD-01,,未移交,,,FALSE,,,2026-07-26
VN-RSJD-02,,未移交,,,FALSE,,,2026-07-26
VN-RSJD-03,,未移交,,,FALSE,,,2026-07-26
VN-URD-01,,未移交,,,FALSE,,,2026-07-26
VN-ASD-01,,未移交,,,FALSE,,,2026-07-26
VN-ASD-02,,未移交,,,FALSE,,,2026-07-26
VN-PAY-01,,未移交,,,TRUE,D-20260721-001,"等VNW批次2(基线合并)完成后,倒推L3-COM为AIT标准格式SOP",2026-07-26
VN-PAY-02,,未移交,,,TRUE,D-20260721-001,"等VNW批次2(基线合并)完成后,倒推L3-COM为AIT标准格式SOP",2026-07-26
VN-PAY-03,,未移交,,,TRUE,D-20260721-001,"等VNW批次2(基线合并)完成后,倒推L3-COM为AIT标准格式SOP",2026-07-26
VN-PAY-04,,未移交,,,TRUE,D-20260721-001,"等VNW批次2(基线合并)完成后,倒推L3-COM为AIT标准格式SOP",2026-07-26
VN-PAY-05,,未移交,,,TRUE,D-20260721-001,"等VNW批次2(基线合并)完成后,倒推L3-COM为AIT标准格式SOP",2026-07-26
VN-PAY-06,,未移交,,,TRUE,D-20260721-001,"等VNW批次2(基线合并)完成后,倒推L3-COM为AIT标准格式SOP",2026-07-26
VN-PAY-07,,未移交,,,TRUE,D-20260721-001,"等VNW批次2(基线合并)完成后,倒推L3-COM为AIT标准格式SOP",2026-07-26
VN-PAY-08,,未移交,,,TRUE,D-20260721-001,"等VNW批次2(基线合并)完成后,倒推L3-COM为AIT标准格式SOP",2026-07-26
VN-PAY-09,,未移交,,,TRUE,D-20260721-001,"等VNW批次2(基线合并)完成后,倒推L3-COM为AIT标准格式SOP",2026-07-26
VN-BAM-01,,未移交,,,FALSE,,,2026-07-26
VN-BAM-02,,未移交,,,FALSE,,,2026-07-26
VN-CFM-01,,未移交,,,FALSE,,,2026-07-26
VN-CFM-02,,未移交,,,FALSE,,,2026-07-26
VN-EQ-11,,未移交,,,FALSE,,,2026-07-26
VN-FBA-02,草稿中,未移交,,,FALSE,,,2026-07-26
VN-FBA-03,草稿中,未移交,,,FALSE,,,2026-07-26
VN-FBA-05,草稿中,未移交,,,FALSE,,,2026-07-26
VN-HR-01,草稿中,未移交,,,FALSE,,,2026-07-26
VN-HR-02,草稿中,未移交,,,FALSE,,,2026-07-26
VN-CPM-02,,未移交,,,FALSE,,,2026-07-26
VN-IBRD-02,,未移交,,,FALSE,,,2026-07-26
VN-NG-01,,未移交,,,FALSE,,,2026-07-26
VN-JOPD-01,,未移交,,,FALSE,,,2026-07-26
VN-RCM-01,,未移交,,,FALSE,,,2026-07-26
VN-RCM-02,,未移交,,,FALSE,,,2026-07-26
VN-SMPS-01,,未移交,,,FALSE,,,2026-07-26
VN-SMPS-02,,未移交,,,FALSE,,,2026-07-26
VN-SMPS-03,,未移交,,,FALSE,,,2026-07-26
VN-SMPS-04,,未移交,,,FALSE,,,2026-07-26
VN-SMPS-05,,未移交,,,FALSE,,,2026-07-26
VN-SMPS-06,,未移交,,,FALSE,,,2026-07-26
VN-SMPS-07,,未移交,,,FALSE,,,2026-07-26
VN-CRR-01,,未移交,,,FALSE,,,2026-07-26
VN-CRR-02,,未移交,,,FALSE,,,2026-07-26
VN-BSRV-01,,未移交,,,FALSE,,,2026-07-26
VN-CPM-01,,未移交,,,FALSE,,,2026-07-26
VN-USV-01,,未移交,,,FALSE,,,2026-07-26
VN-USV-02,,未移交,,,FALSE,,,2026-07-26
VN-SSVA-01,,未移交,,,FALSE,,,2026-07-26
VN-SSVA-02,,未移交,,,FALSE,,,2026-07-26
VN-URD-02,,未移交,,,FALSE,,,2026-07-26
