node_id,node_name,domain,priority,fail_gates,fail_count,owner,phase,review_result,blocker,last_update,next_milestone,expected_output
VN-EQ-01,,EQ,4,,,,A,待复评,同行经代服务方案,2026-06-25,个性化方案模板缺失 / TA资金合规风险 / 数据验证空白,EQ域
VN-EQ-09,,EQ,5,,,,A,待复评,权益上市推广素材,2026-06-25,SLM流程无执行 / 责任人缺失 / 凭证链空白 / 数据闭环缺失 / L3-SLM存废待裁,EQ域
VN-FLM-01,,FA,1,,,,A,待复评,招募计划与执行记录,2026-06-25,3,FA-理财师域
VN-FPG-01,,FA,1,,,,A,待复评,月度/季度考核指标表,2026-06-25,3,FA-理财师域
VN-FBA-01,,FA,1,,,,A,待复评,月度/季度经营分析报告,2026-06-25,1,FA-理财师域
VN-FOB-02,,FA,1,,,,A,待复评,新人90天培养计划,2026-06-25,1,FA-理财师域
VN-FOR-01,,FA,1,,,,A,待复评,首单陪跑记录,2026-06-25,1,FA-理财师域
VN-FOR-02,,FA,1,,,,A,待复评,月度营销启发案,2026-06-25,1,FA-理财师域
VN-FPG-02,,FA,1,,,,A,待复评,季度激励方案,2026-06-25,1,FA-理财师域
VN-FTR-01,,FA,1,,,,A,待复评,培训课程体系（含配套工具）,2026-06-25,1,FA-理财师域
VN-FLM-01,,FA,VN-FPG-01,,,,A,待复评,总部经营管理部门的建设归属和负责人确认,2026-06-25,FA-M-002,待Mark裁定
VN-FLM-01,,FA,,,,,A,待复评,当前招募计划的实际制定和执行流程是什么？各分公司是否有组织发展经理？总部的管理现状？,2026-06-25,考核指标表当前的制定进度？已有哪些指标草案？绩效挂钩的现有做法？,
VN-FOB-02,,FA,,,,,A,待复评,当前新人培养计划的执行情况？成都重庆成熟模型与其他分公司的差异？,2026-06-25,首单陪跑记录的实际执行方式？多角色跟进的记录格式和汇总情况？,
VN-FPG-02,,FA,### F2 · 补建路径,,,,A,待复评,季度激励方案的当前执行流程？与考核和晋升的联动现状？,2026-06-25,培训课程体系的当前管理和分发方式？资料库维护和使用情况？,
VN-FLM-01,,FA,,,,,A,待复评,统一招募计划收集的最快路径是什么？是否需要系统化看板？内涵式/外延式新增策略如何定义？,2026-06-25,加速指标定稿的阻塞点在哪？考核→激励→晋升的联动闭环如何设计？,
VN-FOB-02,,FA,,,,,A,待复评,90天培养计划全公司统一模板的最快路径？达标标准如何定义？,2026-06-25,多角色陪跑记录标准化的最佳路径？陪跑质量评估如何设计？,
VN-FPG-02,,FA,### F3 · 责任与时限,,,,A,待复评,激励→考核→晋升联动闭环如何设计？激励核算可追溯性如何保障？,2026-06-25,培训资料精准推送和版本管理如何实现？与90天培养计划如何打通？,
