node_id,node_name,domain_code,gate1_status,gate2_status,gate3_status,is_fused,sheet5_category,decision_priority
VN-EQ-01,同行经代服务方案,EQ,❌FAIL,⚠PARTIAL,❌FAIL,,🔴熔断,P1
VN-EQ-02,初版权益规划方案,EQ,✅PASS,✅PASS,⚠PARTIAL,,🟢正常,P1
VN-EQ-03,权益推广素材包,EQ,✅PASS,✅PASS,✅PASS,,🟢正常,P1
VN-EQ-04,终版权益规划方案,EQ,✅PASS,✅PASS,✅PASS,,🟢正常,P1
VN-EQ-05,已签权益商务合同,EQ,✅PASS,⚠PARTIAL,⚠PARTIAL,,🟢正常,P1
VN-EQ-06,权益内训素材包,EQ,✅PASS,✅PASS,✅PASS,,🟢正常,P1
VN-EQ-07,客户权益赋能包,EQ,✅PASS,✅PASS,⚠PARTIAL,,🟢正常,P1
VN-EQ-08,已签服务协议,EQ,✅PASS,⚠PARTIAL,⚠PARTIAL,,🟢正常,P1
VN-EQ-09,权益上市推广素材,EQ,❌FAIL,❌FAIL,❌FAIL,,🔴熔断,P2
VN-EQ-10,理财师分级清单,EQ,⚠PARTIAL,⚠PARTIAL,⚠PARTIAL,,🟢正常,P2
VN-FBA-01,月度/季度经营分析报告,FA,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,非熔断,P1
VN-FLM-01,[🔴熔断] 招募计划与执行记录,FA,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,🔴熔断,P1
VN-FOB-01,转介协议及附属协议签署版,FA,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,非熔断,P0
VN-FOB-02,新人90天培养计划,FA,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,非熔断,P1
VN-FOR-01,首单陪跑记录,FA,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,非熔断,P1
VN-FOR-02,月度营销启发案,FA,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,非熔断,P1
VN-FPG-01,[🔴熔断] 月度/季度考核指标表,FA,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,🔴熔断,P1
VN-FPG-02,季度激励方案,FA,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,非熔断,P1
VN-FTR-01,培训课程体系（含配套工具）,FA,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,非熔断,P1
VN-HR-03,绩效方案,HR,PARTIAL,PARTIAL,PARTIAL,,非熔断,P1
VN-HR-04,人效分析报告,HR,PARTIAL,PARTIAL,PARTIAL,,非熔断,P1
VN-HR-05,人力资源诊断与改善建议报告,HR,PARTIAL,FAIL,PARTIAL,,非熔断,P0
VN-HR-06,岗位编制方案,HR,PARTIAL,PARTIAL,PARTIAL,,非熔断,P1
VN-HR-07,员工劳动合同,HR,PASS,PARTIAL,PASS,,非熔断,P0
VN-HR-08,员工成长路径方案,HR,PARTIAL,FAIL,PARTIAL,,非熔断,P1
VN-HR-09,绩效考核结果,HR,PARTIAL,PARTIAL,PARTIAL,,非熔断,P1
VN-HR-10,员工档案,HR,PARTIAL,FAIL,PARTIAL,,非熔断,P0
VN-HR-11,人工成本报表,HR,PASS,PASS,PARTIAL,,非熔断,P1
VN-HR-12,人员归属表,HR,PASS,PASS,PARTIAL,,非熔断,P1
VN-HR-13,人员预算表,HR,PASS,PASS,PASS,,非熔断,P1
VN-HR-14,工资发放凭证,HR,PASS,PARTIAL,PARTIAL,,非熔断,P0
VN-HRD-01,TR招聘入职确认,HR,PASS,PASS,PASS,,非熔断,P1
VN-HRD-02,TR培训完成声明,HR,PASS,PASS,PASS,,非熔断,P1
VN-INS-01,可行性报告,INS,FAIL,FAIL,FAIL,,🔴熔断,P1
VN-INS-02,已签合同+备案号,INS,PASS,PASS,PASS,,非熔断,P0
VN-INS-03,整合就绪确认书,INS,PASS,PASS,PARTIAL,,非熔断,P1
VN-INS-04,认证名单,INS,FAIL,FAIL,FAIL,,🔴熔断,P1
VN-INS-05,Portfolio分析报告,INS,PASS,PASS,PASS,,非熔断,P0
VN-INS-06,保司报告,INS,PASS,PASS,PASS,,非熔断,待确认
VN-INS-07,调整建议书,INS,FAIL,FAIL,FAIL,,🔴熔断,P1
VN-INS-08,新合同/终止协议,INS,PASS,PASS,PASS,,非熔断,待确认
