vn_id,vn_name,vs,s2b2a,stage,l1,entity
VN-BAM-01,银行账户全生命周期管理资产包,财务,S,,L1-04,
VN-BAM-02,银行准入评估与支付工具管理记录,财务,S,,L1-02,
VN-CFM-01,现金流管理报告包,财务,S,,L1-04,
VN-CFM-02,资金付款审批单,财务,S,,L1-02,
VN-EQ-01,同行经代服务方案,权益,B/A,,L1-05,
VN-EQ-02,初版权益规划方案,权益,B/A,,L1-05,
VN-EQ-03,权益推广素材包,权益,B/A,,L1-05,
VN-EQ-04,终版权益规划方案,权益,B/A,VS5-S2 方案设计与价值预览,L1-05,
VN-EQ-05,已签权益商务合同,权益,B/A,VS5-S3 合同签订,L1-05,
VN-EQ-06,权益内训素材包,权益,B/A,,L1-05,
VN-EQ-07,客户权益赋能包,权益,B/A,VS5-S4 权益激活与服务启动,L1-05,
VN-EQ-08,已签服务协议,权益,B/A,,L1-05,
VN-EQ-09,权益上市推广素材,权益,B/A,,L1-05,
VN-EQ-10,理财师分级清单,代理人,B/A,,L1-04,
VN-FBA-01,月度/季度经营分析报告,代理人,A,VS4-S5 BAU运营与业绩跟踪,L1-02,
VN-FLM-01,招募计划与执行记录,代理人,A,VS4-S1 线索识别与招募,L1-02,
VN-FOB-01,转介协议及附属协议签署版,代理人,A,VS4-S2 入职与合规配置,L1-02,
VN-FOB-02,新人90天培养计划,代理人,A,VS4-S2 入职与合规配置,L1-02,
VN-FOR-01,首单陪跑记录,代理人,A,VS4-S4 首单陪跑(五个动作),L1-02,
VN-FOR-02,月度营销启发案,代理人,A,VS4-S4 首单陪跑(五个动作),L1-02,
VN-FPG-01,月度/季度考核指标表,代理人,A,VS4-S6 晋升裂变与权益兑现,L1-02,
VN-FPG-02,季度激励方案,代理人,A,VS4-S6 晋升裂变与权益兑现,L1-02,
VN-FTR-01,培训课程体系（含配套工具）,代理人,A,VS4-S3 基础培训与商考,L1-02,
VN-HR-03,绩效方案,设计细分,S,,L1-04,
VN-HR-04,人效分析报告,人力资源,S,,L1-04,
VN-HR-05,人力资源诊断与改善建议报告,人力资源,S,,L1-04,
VN-HR-06,岗位编制方案,人力资源,S,,L1-04,
VN-HR-07,员工劳动合同,人力资源,S,,L1-04,
VN-HR-08,员工成长路径方案,人力资源,S,,L1-04,
VN-HR-09,绩效考核结果,人力资源,S,,L1-04,
VN-HR-10,员工档案,人力资源,S,,L1-04,
VN-HR-11,人工成本报表,设计细分,S,,L1-04,
VN-HR-12,人员归属表,设计细分,S,,L1-04,
VN-HR-13,人员预算表,人力资源,S,,L1-04,
VN-HR-14,工资发放凭证,人力资源,S,,L1-04,
VN-IBRD-01,合作伙伴尽调记录,经代,S,,L1-02,
VN-INS-01,可行性报告,保司,S,VS1-S1 MGA评估与接触,L1-01,
VN-INS-02,已签合同+备案号,保司,S,VS1-S2 授权与合作框架,L1-01,
VN-INS-03,整合就绪确认书,保司,S,VS1-S3 资源整合与深度对接,L1-01,
VN-INS-04,认证名单,保司,S,VS1-S4 业务运营赋能,L1-01,
VN-INS-05,Portfolio分析报告,保司,S,,L1-01,
VN-INS-06,保司报告,保司,S,VS1-S6 市场反馈与数据回流,L1-01,
VN-INS-07,调整建议书,保司,S,VS1-S6 市场反馈与数据回流,L1-01,
VN-INS-08,新合同/终止协议,保司,S,VS1-S7 绩效评估与续约决策,L1-01,
VN-INS-09,联合评估结论,保司,S,VS1-S7 绩效评估与续约决策,L1-01,
VN-INS-10,周期总结报告,保司,S,VS1-S7 绩效评估与续约决策,L1-01,
VN-KAEM-01,KA培训完成记录,KA,B,VS3-S4 产品与销售能力赋能,L1-02,
VN-KAEM-02,KA资讯发放核销记录,KA,B,VS3-S4 产品与销售能力赋能,L1-02,
VN-KAET-01,KA评估定级记录,KA,B,VS3-S2 评估定级与合规,L1-02,
VN-KAGA-01,KA业绩汇总,KA,B,VS3-S7 持续运营与优化,L1-02,
VN-KAOP-01,KA上架就绪确认,KA,B,,L1-02,
VN-KASC-01,KA合同/协议签署版,KA,B,,L1-02,
VN-MGA-01,联合运营需求诊断包,MGA,S,,L1-04,
VN-MGA-02,联合运营框架方案,MGA,S,,L1-04,
VN-MGA-03,联合运营合约包,MGA,S,,L1-04,
VN-PAY-01,市场佣金制作产出包,佣金,S,,L1-03,
VN-PAY-02,佣金实收确认表,佣金,S,,L1-03,
VN-PAY-03,应派清单三件套,佣金,S,,L1-03,
VN-PAY-04,转介费派发确认台账,佣金,S,,L1-03,
VN-PAY-05,INVOICE/激励结算单,权益,S,,L1-05,
VN-PAY-06,理财师综合应派计算清单,权益,S,,L1-05,
VN-PAY-07,银行权益活动费对账单,权益,S,,L1-05,
VN-PAY-08,报销凭证包,财务,S,,TBD,
VN-PAY-09,NGM→Apass→宿安→天领体系外对账表,财务,S,,L1-04,
VN-URD-01,联合运营需求诊断报告,MGA,S,,L1-02,
VN-RSJD-01,保单销售报告,经代,B,,L1-02,经代机构
VN-RSJD-02,保单合同,经代,B,,L1-02,经代机构
VN-RSJD-03,审计报告,经代,B,,L1-02,经代机构
VN-ASD-01,投诉处理报告,经代,A,,L1-02,经代机构
VN-ASD-02,售后服务质量监控报告,经代,A,,L1-02,经代机构
VN-HRD-01,TR招聘入职确认,经代,S,,L1-04,经代机构
VN-HRD-02,TR培训完成声明,经代,S,,L1-04,经代机构
