mapping_id,node_id,domain_code,role_name,role_type,responsibility_mode,single_point_risk,source_field,source_doc
ROLE-0001,VN-FBA-01,FA,⚠ 待源头校准,生产方,,无法评估——缺少岗位和部门数据,信号2·生产方 （生产部门/生产岗位字段为空，无访谈覆盖）,FA域_价值节点信号提取基线_v1.0.md
ROLE-0002,VN-FBA-01,FA,⚠ 待源头校准,消费方,,,信号2·消费方 （消费主体/消费对象字段为空，无访谈覆盖）,FA域_价值节点信号提取基线_v1.0.md
ROLE-0003,VN-FLM-01,FA,⚠ 待源头校准,生产方,,无法评估——缺少岗位和部门数据,信号2·生产方 （生产部门/生产岗位字段为空，无访谈覆盖）,FA域_价值节点信号提取基线_v1.0.md
ROLE-0004,VN-FLM-01,FA,⚠ 待源头校准,消费方,,,信号2·消费方 （消费主体/消费对象字段为空，无访谈覆盖）,FA域_价值节点信号提取基线_v1.0.md
ROLE-0005,VN-FOB-01,FA,⚠ 待源头校准,生产方,,无法评估——缺少岗位和部门数据,信号2·生产方 （生产部门/生产岗位字段为空，无访谈覆盖）,FA域_价值节点信号提取基线_v1.0.md
ROLE-0006,VN-FOB-01,FA,⚠ 待源头校准,消费方,,,信号2·消费方 （消费主体/消费对象字段为空，无访谈覆盖）,FA域_价值节点信号提取基线_v1.0.md
ROLE-0007,VN-FOB-02,FA,⚠ 待源头校准,生产方,,无法评估——缺少岗位和部门数据,信号2·生产方 （生产部门/生产岗位字段为空，无访谈覆盖）,FA域_价值节点信号提取基线_v1.0.md
ROLE-0008,VN-FOB-02,FA,⚠ 待源头校准,消费方,,,信号2·消费方 （消费主体/消费对象字段为空，无访谈覆盖）,FA域_价值节点信号提取基线_v1.0.md
ROLE-0009,VN-FOR-01,FA,⚠ 待源头校准,生产方,,无法评估——缺少岗位和部门数据,信号2·生产方 （生产部门/生产岗位字段为空，无访谈覆盖）,FA域_价值节点信号提取基线_v1.0.md
ROLE-0010,VN-FOR-01,FA,⚠ 待源头校准,消费方,,,信号2·消费方 （消费主体/消费对象字段为空，无访谈覆盖）,FA域_价值节点信号提取基线_v1.0.md
ROLE-0011,VN-FOR-02,FA,⚠ 待源头校准,生产方,,无法评估——缺少岗位和部门数据,信号2·生产方 （生产部门/生产岗位字段为空，无访谈覆盖）,FA域_价值节点信号提取基线_v1.0.md
ROLE-0012,VN-FOR-02,FA,⚠ 待源头校准,消费方,,,信号2·消费方 （消费主体/消费对象字段为空，无访谈覆盖）,FA域_价值节点信号提取基线_v1.0.md
ROLE-0013,VN-FPG-01,FA,⚠ 待源头校准,生产方,,无法评估——缺少岗位和部门数据,信号2·生产方 （生产部门/生产岗位字段为空，无访谈覆盖）,FA域_价值节点信号提取基线_v1.0.md
ROLE-0014,VN-FPG-01,FA,⚠ 待源头校准,消费方,,,信号2·消费方 （消费主体/消费对象字段为空，无访谈覆盖）,FA域_价值节点信号提取基线_v1.0.md
