node_id,node_name,l3_code,fused_status,priority,source
VN-ASD-01,投诉处理报告,L3-ASD,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-ASD-02,售后服务质量监控报告,L3-ASD,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-BAM-01,银行账户全生命周期管理资产包,L3-BAM,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-BAM-02,银行准入评估与支付工具管理记录,L3-BAM,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-BSRV-01,机构结算核对台账,L3-BSRV,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-CFM-01,现金流管理报告包,L3-CFM,熔断,P0,process_analytics.dim_vn(数据仓库)
VN-CFM-02,资金付款审批单,L3-CFM,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-CPM-01,机构监控指标体系与看板,L3-CPM,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-CPM-02,优化闭环执行包,L3-CPM,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-CRR-01,DD重审记录,L3-CRR,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-CRR-02,续签合约,L3-CRR,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-EQ-01,同行经代服务方案,L3-SSD,熔断,P1熔断,process_analytics.dim_vn(数据仓库)
VN-EQ-02,初版权益规划方案,L3-RSD,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-EQ-03,权益推广素材包,L3-RPD,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-EQ-04,终版权益规划方案,L3-OBC,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-EQ-05,已签权益商务合同,L3-CDS,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-EQ-06,权益内训素材包,L3-SPD,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-EQ-07,客户权益赋能包,L3-COB,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-EQ-08,已签服务协议,L3-SDS,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-EQ-09,权益上市推广素材,L3-SLM,熔断,P0熔断,process_analytics.dim_vn(数据仓库)
VN-EQ-10,理财师分级清单,L3-EO,非熔断,P2(待确认),process_analytics.dim_vn(数据仓库)
VN-EQ-11,经确认的客户权益需求清单,L3-CDA-SRA,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-FBA-01,月度/季度经营分析报告,L3-FBA,熔断,P1,process_analytics.dim_vn(数据仓库)
VN-FLM-01,招募计划与执行记录,L3-FLM,熔断,P1,process_analytics.dim_vn(数据仓库)
VN-FOB-01,转介协议及附属协议签署版,L3-FOB,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-FOB-02,新人90天培养计划,L3-FOB,熔断,P1,process_analytics.dim_vn(数据仓库)
VN-FOR-01,首单陪跑记录,L3-FOR,熔断,P1,process_analytics.dim_vn(数据仓库)
VN-FOR-02,月度营销启发案,L3-FOR,熔断,P1,process_analytics.dim_vn(数据仓库)
VN-FPG-01,月度/季度考核指标表,L3-FPG,熔断,P1,process_analytics.dim_vn(数据仓库)
VN-FPG-02,季度激励方案,L3-FPG,熔断,P1,process_analytics.dim_vn(数据仓库)
VN-FTR-01,培训课程体系（含配套工具）,L3-FTR,熔断,P1,process_analytics.dim_vn(数据仓库)
VN-HR-03,绩效方案,L3-SPE,非熔断,P1,process_analytics.dim_vn(数据仓库)
