action_id,node_id,content,source,confidence,action_subtype,generates_rule,l_layer,mark_decision,status,source_type,action_description,action_owner,expected_deliverable,blocker,completion_evidence,action_tier,executor_dept
S4-PAY01-011,VN-PAY-01,TASK-M4W10-055-扩展(2026-06-03)·刘敏然访谈,Sheet5·Row24,明确,部门行动,计算推导规则,L4层,否,待执行,Sheet5行动清单,TASK-M4W10-055-扩展(2026-06-03)·刘敏然访谈,刘敏然·中台支持 / Carrie / Mark,①获取8份SOP书面版(转为已关闭) ②Carrie/工程师访谈闭环B类8条Gap ③OCR/结构化提取可行性评估(P0-004) ④恢复双轨道交叉检查或设B角(P0-001) ⑤P1-004公式管理SOP正式产出(最接近Aug) ⑥FIC双倍计算风险预防机制(P1-005) ⑦新脚本培训+推广(P1-003),无阻塞，可推进,待执行,,
S4-PAY02-012,VN-PAY-02,待补充（当前Sheet5无行动事项）,待补充,待确认,待确认,待确认,待确认,否,待补充,待补充,待补充（当前Sheet5无行动事项）,待确认,待补充,无阻塞，可推进,待补充,,
S4-PAY03-013,VN-PAY-03,待补充（当前Sheet5无行动事项）,待补充,待确认,待确认,待确认,待确认,否,待补充,待补充,待补充（当前Sheet5无行动事项）,待确认,待补充,无阻塞，可推进,待补充,,
S4-PAY05-014,VN-PAY-05,待补充（当前Sheet5无行动事项）,待补充,待确认,待确认,待确认,待确认,否,待补充,待补充,待补充（当前Sheet5无行动事项）,待确认,待补充,无阻塞，可推进,待补充,,
S4-PAY07-015,VN-PAY-07,待补充（当前Sheet5无行动事项）,待补充,待确认,待确认,待确认,待确认,否,待补充,待补充,待补充（当前Sheet5无行动事项）,待确认,待补充,无阻塞，可推进,待补充,,
S4-KAOE-001,VN-PAY-07,批次7（交付经理）+批次8（MoMo）,Sheet5·Row88,明确,公司行动,数据结构规则,数据架构层,是,待执行,Sheet5行动清单,批次7（交付经理）+批次8（MoMo）,Terresa / Mark,"Mark决策——保留/移除L3-KAOE：方案A（移除）从dim_process删除L3-KAOE及4个L4；方案B（保留待启用）标记为""服务已取消，待后续产品化后启用""",等待Mark裁定：批次7（交付经理）+批次8（MoMo）,待执行,,
S4-EQ-02-C1,VN-EQ-02,"【依据权益业务D1-D4】调整RSD触发逻辑为""预算→需求→匹配→成包""",Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,"【依据权益业务D1-D4】调整RSD触发逻辑为""预算→需求→匹配→成包""",权益规划经理,复评记录,等待补建/访谈闭环,待执行,,
S4-EQ-02-C2,VN-EQ-02,明确权益测算模型,Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,明确权益测算模型,权益规划经理,复评记录,等待补建/访谈闭环,待执行,,
S4-EQ-02-C3,VN-EQ-02,明确三权分工和交接标准,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,明确三权分工和交接标准,权益规划经理,复评记录,等待补建/访谈闭环,待执行,,
S4-EQ-03-C1,VN-EQ-03,【依据权益业务D1-D4】建立标准化推广素材模板库,Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,【依据权益业务D1-D4】建立标准化推广素材模板库,待指定,复评记录,无明确阻塞，可推进,待执行,,
S4-EQ-03-C2,VN-EQ-03,复核并补强弱项,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,复核并补强弱项,待指定,复评记录,无明确阻塞，可推进,待执行,,
S4-EQ-04-C1,VN-EQ-04,【依据权益业务D1-D4】明确终版方案对外交付标准,Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,【依据权益业务D1-D4】明确终版方案对外交付标准,权益规划经理 + 合规负责人,复评记录,无明确阻塞，可推进,待执行,,
S4-EQ-04-C2,VN-EQ-04,复核并补强弱项,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,复核并补强弱项,权益规划经理 + 合规负责人,复评记录,无明确阻塞，可推进,待执行,,
S4-EQ-05-C1,VN-EQ-05,【依据权益业务D1-D4】建立权益商务合同标准模板库（按服务类型分类）,Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,【依据权益业务D1-D4】建立权益商务合同标准模板库（按服务类型分类）,权益规划经理（拟定）+ 权益交付经理（签订）,复评记录,等待补建/访谈闭环,待执行,,
S4-EQ-05-C2,VN-EQ-05,优化数据流转和系统对接,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,优化数据流转和系统对接,权益规划经理（拟定）+ 权益交付经理（签订）,复评记录,等待补建/访谈闭环,待执行,,
S4-EQ-05-C3,VN-EQ-05,明确三权分工和交接标准,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,明确三权分工和交接标准,权益规划经理（拟定）+ 权益交付经理（签订）,复评记录,等待补建/访谈闭环,待执行,,
S4-EQ-06-C1,VN-EQ-06,【依据权益业务D1-D4】将服务凭证管理要求纳入SPD定义,Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,【依据权益业务D1-D4】将服务凭证管理要求纳入SPD定义,权益产品经理,复评记录,无明确阻塞，可推进,待执行,,
S4-EQ-06-C2,VN-EQ-06,复核并补强弱项,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,复核并补强弱项,权益产品经理,复评记录,无明确阻塞，可推进,待执行,,
S4-EQ-07-C1,VN-EQ-07,【依据权益业务D1-D4】建立标准化的客户入驻确认书或邮件确认模板,Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,【依据权益业务D1-D4】建立标准化的客户入驻确认书或邮件确认模板,权益交付经理,复评记录,等待补建/访谈闭环,待执行,,
S4-EQ-07-C2,VN-EQ-07,明确三权分工和交接标准,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,明确三权分工和交接标准,权益交付经理,复评记录,等待补建/访谈闭环,待执行,,
S4-EQ-08-C1,VN-EQ-08,【依据权益业务D1-D4】建立服务协议标准模板库,Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,【依据权益业务D1-D4】建立服务协议标准模板库,权益规划经理（拟定）+ 权益交付经理（签订）,复评记录,等待补建/访谈闭环,待执行,,
S4-EQ-08-C2,VN-EQ-08,优化数据流转和系统对接,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,优化数据流转和系统对接,权益规划经理（拟定）+ 权益交付经理（签订）,复评记录,等待补建/访谈闭环,待执行,,
S4-EQ-08-C3,VN-EQ-08,明确三权分工和交接标准,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,明确三权分工和交接标准,权益规划经理（拟定）+ 权益交付经理（签订）,复评记录,等待补建/访谈闭环,待执行,,
S4-EQ-10-C1,VN-EQ-10,"【依据权益业务D1-D4】明确""权益部门规则支持 + 天领运营执行""协作模式",Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,"【依据权益业务D1-D4】明确""权益部门规则支持 + 天领运营执行""协作模式",天领运营团队（执行）+ 权益部门（规则支持）,复评记录,等待补建/访谈闭环,待执行,,
S4-EQ-10-C2,VN-EQ-10,厘清跨岗位责任边界,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,厘清跨岗位责任边界,天领运营团队（执行）+ 权益部门（规则支持）,复评记录,等待补建/访谈闭环,待执行,,
S4-EQ-10-C3,VN-EQ-10,补强凭证记录和归档,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,补强凭证记录和归档,天领运营团队（执行）+ 权益部门（规则支持）,复评记录,等待补建/访谈闭环,待执行,,
S4-EQ-10-C4,VN-EQ-10,优化数据流转和系统对接,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,优化数据流转和系统对接,天领运营团队（执行）+ 权益部门（规则支持）,复评记录,等待补建/访谈闭环,待执行,,
S4-EQ-10-C5,VN-EQ-10,明确三权分工和交接标准,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,明确三权分工和交接标准,天领运营团队（执行）+ 权益部门（规则支持）,复评记录,等待补建/访谈闭环,待执行,,
S4-HR-03-C1,VN-HR-03,建立统一绩效方案模板,Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,建立统一绩效方案模板,HR负责人(赵宇)/业务部门负责人,L3=L3-SPE,无明确阻塞，可推进,待执行,,
S4-HR-03-C2,VN-HR-03,目标拆解逻辑标准化(Mark→部门→岗位),Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,目标拆解逻辑标准化(Mark→部门→岗位),HR负责人(赵宇)/业务部门负责人,L3=L3-SPE,需Mark裁定,待执行,,
S4-HR-03-C3,VN-HR-03,推动系统下发与确认,Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,推动系统下发与确认,HR负责人(赵宇)/业务部门负责人,L3=L3-SPE,无明确阻塞，可推进,待执行,,
S4-HR-03-C4,VN-HR-03,根据D1-D4调研报告补充,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,根据D1-D4调研报告补充,HR负责人(赵宇)/业务部门负责人,L3=L3-SPE,无明确阻塞，可推进,待执行,,
S4-HR-04-C1,VN-HR-04,明确人效分析维度(收入/利润/成本/流失率),Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,明确人效分析维度(收入/利润/成本/流失率),HR负责人(袁林),L3=L3-HRA,无明确阻塞，可推进,待执行,,
S4-HR-04-C2,VN-HR-04,建立数据源对接(HR+财务),Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,建立数据源对接(HR+财务),HR负责人(袁林),L3=L3-HRA,无明确阻塞，可推进,待执行,,
S4-HR-04-C3,VN-HR-04,输出标准化报告模板,Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,输出标准化报告模板,HR负责人(袁林),L3=L3-HRA,无明确阻塞，可推进,待执行,,
S4-HR-04-C4,VN-HR-04,根据D1-D4调研报告补充,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,根据D1-D4调研报告补充,HR负责人(袁林),L3=L3-HRA,无明确阻塞，可推进,待执行,,
S4-HR-06-C1,VN-HR-06,建立定岗定编方法论(流程+工作量→编制),Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,建立定岗定编方法论(流程+工作量→编制),HR负责人(袁林)/业务部门负责人,L3=L3-HRM,无明确阻塞，可推进,待执行,,
S4-HR-06-C2,VN-HR-06,与业务部门联合评审,Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,与业务部门联合评审,HR负责人(袁林)/业务部门负责人,L3=L3-HRM,无明确阻塞，可推进,待执行,,
S4-HR-06-C3,VN-HR-06,系统归档与定期复盘,Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,系统归档与定期复盘,HR负责人(袁林)/业务部门负责人,L3=L3-HRM,无明确阻塞，可推进,待执行,,
S4-HR-06-C4,VN-HR-06,根据D1-D4调研报告补充,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,根据D1-D4调研报告补充,HR负责人(袁林)/业务部门负责人,L3=L3-HRM,无明确阻塞，可推进,待执行,,
S4-HR-07-C1,VN-HR-07,合同关键字段结构化(岗位/薪酬/期限/试用期),Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,合同关键字段结构化(岗位/薪酬/期限/试用期),HR负责人(袁林)/招聘团队,见Next Action,等待补建/访谈闭环,待执行,,
S4-HR-07-C2,VN-HR-07,与员工档案系统联动,Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,与员工档案系统联动,HR负责人(袁林)/招聘团队,见Next Action,等待补建/访谈闭环,待执行,,
S4-HR-07-C3,VN-HR-07,电子签推广,Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,电子签推广,HR负责人(袁林)/招聘团队,见Next Action,等待补建/访谈闭环,待执行,,
S4-HR-09-C1,VN-HR-09,建立绩效结果确认流程(签字/系统确认),Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,建立绩效结果确认流程(签字/系统确认),HR负责人(袁林)/部门负责人,L3=L3-HRM,无明确阻塞，可推进,待执行,,
S4-HR-09-C2,VN-HR-09,与薪酬调整/晋升/培训系统联动,Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,与薪酬调整/晋升/培训系统联动,HR负责人(袁林)/部门负责人,L3=L3-HRM,无明确阻塞，可推进,待执行,,
S4-HR-09-C3,VN-HR-09,结果应用留痕,Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,结果应用留痕,HR负责人(袁林)/部门负责人,L3=L3-HRM,无明确阻塞，可推进,待执行,,
S4-HR-09-C4,VN-HR-09,根据D1-D4调研报告补充,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,根据D1-D4调研报告补充,HR负责人(袁林)/部门负责人,L3=L3-HRM,无明确阻塞，可推进,待执行,,
S4-HR-11-C1,VN-HR-11,根据D1-D4调研报告补充,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,根据D1-D4调研报告补充,Terresa,L3=L3-SPE,无明确阻塞，可推进,待执行,,
S4-HR-12-C1,VN-HR-12,根据D1-D4调研报告补充,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,根据D1-D4调研报告补充,Terresa,L3=L3-SPE,无明确阻塞，可推进,待执行,,
S4-HR-13-C1,VN-HR-13,根据D1-D4调研报告补充,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,根据D1-D4调研报告补充,Terresa,L3=L3-HRM,无明确阻塞，可推进,待执行,,
S4-HR-14-C1,VN-HR-14,根据D1-D4调研报告补充,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,根据D1-D4调研报告补充,Terresa,L3=L3-HRM,无明确阻塞，可推进,待执行,,
S4-INS-02-C1,VN-INS-02,Mark确认,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,Mark确认,L3-IAC需拆分为谈判+授权确认两个L3,2026-05-28,需Mark裁定,待执行,,
S4-INS-03-C1,VN-INS-03,P1: 蓝图V1.1确认整合就绪确认书为口头确认，建议升级,Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,P1: 蓝图V1.1确认整合就绪确认书为口头确认，建议升级,当前口头确认，建议升级为签字流程,复评记录,需Mark裁定,待执行,,
S4-INS-03-C2,VN-INS-03,明确三权分工和交接标准,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,明确三权分工和交接标准,当前口头确认，建议升级为签字流程,复评记录,需Mark裁定,待执行,,
S4-INS-05-C1,VN-INS-05,P0拆分: 蓝图V1.0确认IPI拆分为上架(IPI-Onb)+运营(IPI-Ops),Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,P0拆分: 蓝图V1.0确认IPI拆分为上架(IPI-Onb)+运营(IPI-Ops),L3-IPI需拆分为上架+运营两个L3,P0拆分: 蓝图V1.0确认IPI拆分为上架(IPI-Onb)+运营(IPI-Ops),需Mark裁定,待执行,,
S4-INS-05-C2,VN-INS-05,Mark确认,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,Mark确认,L3-IPI需拆分为上架+运营两个L3,P0拆分: 蓝图V1.0确认IPI拆分为上架(IPI-Onb)+运营(IPI-Ops),需Mark裁定,待执行,,
S4-INS-06-C1,VN-INS-06,根据D1-D4调研报告补充,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,根据D1-D4调研报告补充,Terresa,L3=L3-IMF,需Mark裁定,待执行,,
S4-INS-08-C1,VN-INS-08,根据D1-D4调研报告补充,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,根据D1-D4调研报告补充,Terresa,L3=L3-IRR,需Mark裁定,待执行,,
S4-INS-09-C1,VN-INS-09,根据D1-D4调研报告补充,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,根据D1-D4调研报告补充,Terresa,L3=L3-IRR,需Mark裁定,待执行,,
S4-INS-10-C1,VN-INS-10,根据D1-D4调研报告补充,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,根据D1-D4调研报告补充,Terresa,L3=L3-IRR,需Mark裁定,待执行,,
S4-FOB-01-C1,VN-FOB-01,优化电子签+系统化归档,Sheet2·Next Action字段,明确,交付物标准化,否,L4层,否,待执行,Sheet2·Next Action字段,优化电子签+系统化归档,行政 / 总部,保持现状；优化电子签+系统化归档,等待补建/访谈闭环,待执行,,
S4-FOB-01-C2,VN-FOB-01,批次9（分公司管理层）,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,批次9（分公司管理层）,行政 / 总部,保持现状；优化电子签+系统化归档,等待补建/访谈闭环,待执行,,
S4-RSJD-01-C1,VN-RSJD-01,持续跟踪实际执行情况并沉淀交付物标准,Sheet2·next_actions,明确,交付物标准化,否,L4层,否,待执行,Sheet2·next_actions,持续跟踪实际执行情况并沉淀交付物标准,TR/RO,VN-RSJD-01标准化销售报告模板,需访谈后确认各子产物归档标准,待执行,,
S4-RSJD-02-C1,VN-RSJD-02,持续跟踪实际执行情况并沉淀交付物标准,Sheet2·next_actions,明确,交付物标准化,否,L4层,否,待执行,Sheet2·next_actions,持续跟踪实际执行情况并沉淀交付物标准,TR,保单交付与签收标准SOP,需访谈确认Pending处理流程,待执行,,
S4-RSJD-03-C1,VN-RSJD-03,持续跟踪实际执行情况并沉淀交付物标准,Sheet2·next_actions,明确,交付物标准化,否,L4层,否,待执行,Sheet2·next_actions,持续跟踪实际执行情况并沉淀交付物标准,CO/TR,VN-RSJD-03销售合规审计报告标准模板,需访谈确认录音保存与整改跟踪机制,待执行,,
S4-ASD-01-C1,VN-ASD-01,持续跟踪实际执行情况并沉淀交付物标准,Sheet2·next_actions,明确,交付物标准化,否,L4层,否,待执行,Sheet2·next_actions,持续跟踪实际执行情况并沉淀交付物标准,AO/CO,VN-ASD-01投诉处理报告标准归档体系,需访谈确认CRC流程与录音保存规则,待执行,,
S4-ASD-02-C1,VN-ASD-02,持续跟踪实际执行情况并沉淀交付物标准,Sheet2·next_actions,明确,交付物标准化,否,L4层,否,待执行,Sheet2·next_actions,持续跟踪实际执行情况并沉淀交付物标准,AO/RO,VN-ASD-02售后服务质量监控报告标准模板,依赖VN-ASD-01数据标准化完成,待执行,,
S4-HRD-01-C1,VN-HRD-01,待HR调研补全执行岗位与系统工具,Sheet2·next_actions,明确,交付物标准化,否,L4层,否,待执行,Sheet2·next_actions,待HR调研补全执行岗位与系统工具,交付经理（菲菲）/ HR负责人（袁林）,HR人力资源体系岗位&工具矩阵,需安排HR专项访谈,待执行,,
S4-HRD-02-C1,VN-HRD-02,待HR调研补全执行岗位与系统工具（CPD管理专项）,Sheet2·next_actions,明确,交付物标准化,否,L4层,否,待执行,Sheet2·next_actions,待HR调研补全执行岗位与系统工具（CPD管理专项）,AO / RO,CPD管理体系岗位&工具矩阵,需安排HR/合规专项访谈,待执行,,
S4-BAM-02-C1,VN-BAM-02,批次8（Roy）+Chaya访谈,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,批次8（Roy）+Chaya访谈,未知,待B-CFM-11 Mark裁定：是否建立银行准入评估标准（4维度）；待B-CFM-12 Mark裁定：支票管理如何整改（领用登记+限额管理+提升转账额度替代支票）,需Mark裁定,待执行,,
S4-CFM-02-C1,VN-CFM-02,批次8（Roy）+Chaya访谈,Sheet5·行动事项列,明确,交付物标准化,否,L4层,否,待执行,Sheet5·行动事项列,批次8（Roy）+Chaya访谈,未知,待B-CFM-13 Mark裁定：业务审批与资金付款如何衔接；建议建立资金付款审批单（含原始凭证+计算逻辑+业务审批意见+财务复核意见），Carrie正在做端到端打通,需Mark裁定,待执行,,
S4-EQ-EQ-01-1,VN-EQ-01,EQ域,EQ_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,EQ域,待指定,个性化方案模板缺失 / TA资金合规风险 / 数据验证空白,同行经代服务方案,待执行,,
S4-EQ-EQ-09-2,VN-EQ-09,EQ域,EQ_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,EQ域,待指定,SLM流程无执行 / 责任人缺失 / 凭证链空白 / 数据闭环缺失 / L3-SLM存废待裁,权益上市推广素材,待执行,,
S4-FA-FLM-01-3,VN-FLM-01,FA-理财师域,FA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,FA-理财师域,待指定,3,招募计划与执行记录,待执行,,
S4-FA-FPG-01-4,VN-FPG-01,FA-理财师域,FA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,FA-理财师域,待指定,3,月度/季度考核指标表,待执行,,
S4-FA-FBA-01-5,VN-FBA-01,FA-理财师域,FA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,FA-理财师域,待指定,1,月度/季度经营分析报告,待执行,,
