node_id,node_name,domain,fused_status,fused_type,source,last_updated
VN-EQ-01,同行经代服务方案,EQ,熔断,P1熔断（Gate①=FAIL / Gate②=PARTIAL / Gate③=FAIL）,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-EQ-02,初版权益规划方案,EQ,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-EQ-03,权益推广素材包,EQ,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-EQ-04,终版权益规划方案,EQ,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-EQ-05,已签权益商务合同,EQ,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-EQ-06,权益内训素材包,EQ,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-EQ-07,客户权益赋能包,EQ,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-EQ-08,已签服务协议,EQ,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-EQ-09,权益上市推广素材,EQ,熔断,P2熔断（Gate①=FAIL / Gate②=FAIL / Gate③=FAIL）,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-EQ-10,理财师分级清单,EQ,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-FBA-01,月度/季度经营分析报告,FA,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-FLM-01,[🔴熔断] 招募计划与执行记录,FA,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-FOB-01,转介协议及附属协议签署版,FA,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-FOB-02,新人90天培养计划,FA,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-FOR-01,首单陪跑记录,FA,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-FOR-02,月度营销启发案,FA,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-FPG-01,[🔴熔断] 月度/季度考核指标表,FA,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-FPG-02,季度激励方案,FA,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-FTR-01,培训课程体系（含配套工具）,FA,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-HR-03,绩效方案,HR,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-HR-04,人效分析报告,HR,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-HR-05,人力资源诊断与改善建议报告,HR,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-HR-06,岗位编制方案,HR,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-HR-07,员工劳动合同,HR,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-HR-08,员工成长路径方案,HR,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-HR-09,绩效考核结果,HR,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-HR-10,员工档案,HR,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-HR-11,人工成本报表,HR,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-HR-12,人员归属表,HR,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-HR-13,人员预算表,HR,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-HR-14,工资发放凭证,HR,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-HRD-01,TR招聘入职确认,HR,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-HRD-02,TR培训完成声明,HR,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
