batch_id,dept_role,node_ids,deliverable_names,gap_lead_ids,gap_count,interviewee_name,status,recording_md_ref,source_doc
B-PAY-01,佣金对账执行岗,VN-PAY-02,实收佣金对账表,,6,,待排期,,PAY_第二层_访谈问题清单_v1.1.md(§1)
B-PAY-02,应派计算执行岗/佣金对账执行岗,"VN-PAY-03,VN-PAY-05",,,5,,待排期,,PAY_第二层_访谈问题清单_v1.1.md(§2)
B-PAY-03,佣金制表执行岗/佣金数据录入岗,VN-PAY-01,,,4,,待排期,,PAY_第二层_访谈问题清单_v1.1.md(§3)
B-PAY-04,服务台账管理岗,"VN-PAY-05,VN-PAY-07",,,4,,待排期,,PAY_第二层_访谈问题清单_v1.1.md(§4)
B-PAY-05,佣金制表执行岗(复查),VN-PAY-01,,,1,,待排期,,PAY_第二层_访谈问题清单_v1.1.md(§5)
B-PAY-B09,待确认岗位/Mark/数据底座架构师,VN-PAY-09,,,4,,待排期,,PAY_第二层_访谈问题清单_v1.1.md(SectionB)
B-PAY-B04,佣金对账执行岗/合规管理岗(空缺待裁定),VN-PAY-04,,,4,,待排期,,PAY_第二层_访谈问题清单_v1.1.md(SectionB)
B-PAY-B06,应派计算执行岗/佣金对账执行岗,VN-PAY-06,,,3,,待排期,,PAY_第二层_访谈问题清单_v1.1.md(SectionB)
B-PAY-B08,行政/HR管理岗(待Mark指派),VN-PAY-08,,,3,,待排期,,PAY_第二层_访谈问题清单_v1.1.md(SectionB)
B-EQ-01,待源头校准(岗位待Terresa/HR提供),"VN-EQ-02,03,04,05,06,07,08,10,01,09",,,29,,待排期,,EQ_第二层_访谈问题清单_v1.0.md
B-FA-01,待源头校准,"VN-FOB-01,FLM-01,FPG-01,FBA-01,FOB-02,FOR-01,FOR-02,FPG-02,FTR-01",,,14,,待排期,,FA_第二层_访谈问题清单_v1.0.md
B-HR-01,待源头校准,"VN-HR-03,04,06,07,09,11,12,13,14,HRD-01,HRD-02,HR-05,08,10",,,47,,待排期,,HR_第二层_访谈问题清单_v1.1.md
B-INS-01,待源头校准,"VN-INS-02,03,05,06,08,09,10,01,04,07",,,30,,待排期,,INS_第二层_访谈问题清单_v1.1.md
B-KA-01,待源头校准,"VN-KAEM-01,02,KAET-01,KAGA-01,KAOP-01,KASC-01",,,11,,待排期,,KA_第二层_访谈问题清单_v1.0.md
B-PARTNER-01,待源头校准,"VN-RSJD-01,02,03,ASD-01,02,IBRD-01,MGA-01,02,03,URD-01",,,29,,待排期,,PARTNER_第二层_访谈问题清单_v1.1.md
B-TREASURY-01,待源头校准,"VN-BAM-02,CFM-02,BAM-01,CFM-01",,,17,,待排期,,TREASURY_第二层_访谈问题清单_v1.0.md
