lead_id,node_id,content,source,confidence,target_rule_type,interview_priority,l_layer,status,gap_description,gap_impact,expected_output,target_interviewee,background,answer_format,interview_result,converted_rule,b_scope_correction,b_owner_correction,b_trigger_correction,b_output_correction,b_validity_judgment,c_existence_check,c_actual_owner,c_actual_boundary,c_main_problem,c_feedback_target,leg,q_type,cq_id,interview_question,question_background
S3-HR-09-B1,VN-HR-09,考核结果停留在打分层面，业务上不知道得A和得C的人分别该涨多少工资,HR_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L4层,待访谈,考核结果停留在打分层面，业务上不知道得A和得C的人分别该涨多少工资,考核→薪酬/晋升联动规则书面化,考核→薪酬/晋升联动规则书面化,,考核结果停留在打分层面，业务上不知道得A和得C的人分别该涨多少工资,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"绩效考核结果如何与薪酬调整和晋升联动
A/B/C等级怎样影响工资：___________
怎样影响晋升：___________
有没有书面联动规则：___________",考核结果停留在打分层面，业务上不知道得A和得C的人分别该涨多少工资
S3-HR-03-B1,VN-HR-03,绩效方案制定环节缺少从公司战略到岗位KPI的标准化分解方法,HR_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L3层,待访谈,绩效方案制定环节缺少从公司战略到岗位KPI的标准化分解方法,战略目标书面化+KPI拆解标准化,战略目标书面化+KPI拆解标准化,,绩效方案制定环节缺少从公司战略到岗位KPI的标准化分解方法,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"公司战略目标如何拆解为各板块KPI
战略目标怎么下达：___________
各板块KPI怎么拆解：___________
有没有统一方法：___________
负责人：___________",绩效方案制定环节缺少从公司战略到岗位KPI的标准化分解方法
S3-HR-03-B2,VN-HR-03,绩效方案缺少统一模板和方法论,HR_第一层_规则空白地图_v1.0,明确,数据结构规则,P1,L4层,待访谈,绩效方案缺少统一模板和方法论,绩效方案统一模板,绩效方案统一模板,,绩效方案缺少统一模板和方法论,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"绩效方案统一模板应包含哪些要素
当前各板块格式：___________
模板需求：___________
不被认可原因：___________",绩效方案缺少统一模板和方法论
S3-HR-06-B1,VN-HR-06,定岗定编缺少与业务部门达成共识的标准流程,HR_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L4层,待访谈,定岗定编缺少与业务部门达成共识的标准流程,定岗定编方法论+共识机制,定岗定编方法论+共识机制,,定岗定编缺少与业务部门达成共识的标准流程,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"定岗定编方法论和共识流程
当前方法：___________
不被认可原因：___________
沟通流程：___________",定岗定编缺少与业务部门达成共识的标准流程
S3-HR-06-B2,VN-HR-06,JD缺少版本管理和变更后回溯至编制方案的规则,HR_第一层_规则空白地图_v1.0,明确,数据结构规则,P1,L4层,待访谈,JD缺少版本管理和变更后回溯至编制方案的规则,JD版本管理和变更回溯机制,JD版本管理和变更回溯机制,,JD缺少版本管理和变更后回溯至编制方案的规则,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"JD版本管理和变更回溯机制
谁写JD：___________
招聘中谁改：___________
改完通知编制端吗：___________
有版本记录吗：___________",JD缺少版本管理和变更后回溯至编制方案的规则
S3-HR-07-B1,VN-HR-07,合同信息缺少字段化提取和与档案的自动关联,HR_第一层_规则空白地图_v1.0,明确,数据结构规则,P1,数据架构层,待访谈,合同信息缺少字段化提取和与档案的自动关联,合同信息结构化方案+档案关联,合同信息结构化方案+档案关联,,合同信息缺少字段化提取和与档案的自动关联,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"合同关键信息如何结构化存储
当前合同信息管理：___________
关键字段：___________
员工档案在哪：___________",合同信息缺少字段化提取和与档案的自动关联
S3-HR-04-B1,VN-HR-04,人效分析缺少标准分析维度和对标数据来源,HR_第一层_规则空白地图_v1.0,明确,计算推导规则,P1,L4层,待访谈,人效分析缺少标准分析维度和对标数据来源,分析标准维度和对标数据来源,分析标准维度和对标数据来源,,人效分析缺少标准分析维度和对标数据来源,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"应包含哪些维度和对标数据
当前分析维度：___________
有行业对标吗：___________
需要什么数据源：___________",人效分析缺少标准分析维度和对标数据来源
S3-HRD-01-B1,VN-HRD-01,TR背调环节缺少异常情况的标准处理流程,HR_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L4层,待访谈,TR背调环节缺少异常情况的标准处理流程,背调异常处理SOP,背调异常处理SOP,,TR背调环节缺少异常情况的标准处理流程,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"背调异常时的标准处理流程
异常类型：___________
当前怎么处理：___________
谁判断：___________
有升级机制吗：___________",TR背调环节缺少异常情况的标准处理流程
S3-HRD-02-B1,VN-HRD-02,TR培训合规缺少时数不足和声明延迟的标准处理规则,HR_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L4层,待访谈,TR培训合规缺少时数不足和声明延迟的标准处理规则,CPD补训SOP+延迟处理机制,CPD补训SOP+延迟处理机制,,TR培训合规缺少时数不足和声明延迟的标准处理规则,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"CPD时数不足补训流程和声明延迟处理
时数不足怎么发现：___________
谁督促补训：___________
延迟怎么处理：___________",TR培训合规缺少时数不足和声明延迟的标准处理规则
S3-HR-11-B1,VN-HR-11,人工成本报表缺少统一模板和数据采集标准,HR_第一层_规则空白地图_v1.0,明确,数据结构规则,P1,L4层,待访谈,人工成本报表缺少统一模板和数据采集标准,统一模板+数据采集标准+交叉验证,统一模板+数据采集标准+交叉验证,,人工成本报表缺少统一模板和数据采集标准,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"统一模板和数据采集标准
财务版字段：___________
敏然版字段：___________
数据源一致吗：___________",人工成本报表缺少统一模板和数据采集标准
