node_id,domain,node_name,l3_flow,l3_status,priority,start_point,end_point,end_standard,frequency,l4_name,value_property,physical_correspondence,data_validation,producer,consumer,single_point_risk,composition,kpi_anchors,m_anchors,strategic_note,version,last_updated,source_file
VN-EQ-01,EQ,同行经代服务方案,同行经代服务方案E2E,正常,P1,1.同行经代合作意向；2.机构需求,《服务方案》,审核通过；2.机构确认版,按需执行,,,,,,,,,1.方案审核通过率 / 2.同行经代合作转化率,1.M3 NGP / 2.M4 业务渗透,,v1.0(提取合集校准),2026-06-25,EQ域_价值节点信号提取基线_v1.0.md
VN-EQ-02,EQ,初版权益规划方案,权益方案框架设计E2E,正常,P1,业务线需求/佣金点位（预算,《初版权益规划方案》,内部评审版,按需执行,,,,,,,,初版权益规划方案 + 权益成本测算表 + 权益测算模型表 + 权益商务&财务路径图,1.方案匹配准确率 / 2.方案交付周期,1.M4 业务渗透 / 2.M7 产品治理,,v1.0(提取合集校准),2026-06-25,EQ域_价值节点信号提取基线_v1.0.md
VN-EQ-03,EQ,权益推广素材包,权益包设计与发布E2E,正常,P1,权益包发布确认,《权益推广素材包》,可用状态,按需执行,,,,,,,,权益海报 + 权益PPT + 宣达话术文案,1.推广素材使用率 / 2.业务线采纳率,1.M4 业务渗透 / 2.M6 业务渗透,,v1.0(提取合集校准),2026-06-25,EQ域_价值节点信号提取基线_v1.0.md
VN-EQ-04,EQ,终版权益规划方案,权益方案目标确认与共识达成E2E,正常,P1,初版方案评审反馈,《终版权益规划方案》,Mark签核版,按需执行,,,,,,,,终版权益规划方案 + 相关协议拟定,1.方案共识达成率 / 2.合作伙伴满意度,1.M4 业务渗透 / 2.M7 产品治理,,v1.0(提取合集校准),2026-06-25,EQ域_价值节点信号提取基线_v1.0.md
VN-EQ-05,EQ,已签权益商务合同,权益商务合同起草与签订E2E,正常,P1,1.权益包发布；2.合同要点确认,合同签订完成,,按需执行,,,,,,,,已签权益商务合同 + RW协议登记表,1.合同签订周期 / 2.合规通过率,1.M7 产品治理 / 2.M8 财务结算,,v1.0(提取合集校准),2026-06-25,EQ域_价值节点信号提取基线_v1.0.md
VN-EQ-06,EQ,权益内训素材包,服务流程配置与培训E2E,正常,P1,权益包配置完成,《权益内训素材包》,培训完成,按需执行,,,,,,,,权益包内训PPT + 权益方案宣达文档 + 日常权益答疑指南,1.内训覆盖率 / 2.交付经理满意度,1.M1 中台运营 / 2.M6 业务渗透,,v1.0(提取合集校准),2026-06-25,EQ域_价值节点信号提取基线_v1.0.md
VN-EQ-07,EQ,客户权益赋能包,客户入驻权益服务启动E2E,正常,P1,1.合同签署完成；2.系统账户初始化,《客户权益赋能包》,客户确认,按需执行,,,,,,,,,1.客户入驻成功率 / 2.赋能完成率,1.M4 业务渗透 / 2.M6 业务渗透,,v1.0(提取合集校准),2026-06-25,EQ域_价值节点信号提取基线_v1.0.md
VN-EQ-08,EQ,已签服务协议,服务商务合同起草与签订E2E,正常,P1,服务寻源与设计完成,《已签服务协议》,双方盖章版,按需执行,,,,,,,,服务协议,1.协议签订周期 / 2.服务上架前置合规率,1.M7 产品治理 / 2.M8 财务结算,,v1.0(提取合集校准),2026-06-25,EQ域_价值节点信号提取基线_v1.0.md
VN-EQ-09,EQ,权益上市推广素材,权益上市推广E2E,正常,P2,结算完成,《权益上市推广素材》,发布完成,按需执行,,,,,,,,权益上市海报 + 上市PPT + 宣达文案,1.推广触达率 / 2.业务线采纳率,1.M4 业务渗透 / 2.M6 业务渗透,,v1.0(提取合集校准),2026-06-25,EQ域_价值节点信号提取基线_v1.0.md
VN-EQ-10,EQ,理财师分级清单,理财师权益分级与绩效监控E2E(跨域),正常,P2,1.业绩数据；2.分级规则,《理财师分级清单》,公示版,每年度或半年度一次，项目管理合同变动时触发更新,,,,,,,,理财师分级结果公示清单,1.分级准确率 / 2.公示及时率,1.M2 KPI报表 / 2.M6 业务渗透,,v1.0(提取合集校准),2026-06-25,EQ域_价值节点信号提取基线_v1.0.md
VN-FBA-01,FA,月度/季度经营分析报告,理财师业务分析E2E,正常,P1,业绩数据收集,分析 → 报告定稿 → 上报总部,—,每月1次,,,,跑通中,⚠ 待源头校准（生产部门/生产岗位字段为空，无访谈覆盖）,⚠ 待源头校准（消费主体/消费对象字段为空，无访谈覆盖）,无法评估——缺少岗位和部门数据,L4组成,KPI-TEXT-VN-FBA-01-1 报告准确率 / KPI-TEXT-VN-FBA-01-2 分析覆盖率 / KPI-TEXT-VN-FBA-01-3 偏差发现及时率,1.M1 中台运营 / 2.M2 KPI报表 / 3.M4 业务渗透,理财师业务分析子域节点，支撑理财师全生命周期管理,v1.0(提取合集校准),2026-06-25,FA域_价值节点信号提取基线_v1.0.md
VN-FLM-01,FA,[🔴熔断] 招募计划与执行记录,理财师线索挖掘与招募E2E,正常,P1,招募需求提出,计划制定 → 执行记录归档,—,每季度1次,,,,跑通中,⚠ 待源头校准（生产部门/生产岗位字段为空，无访谈覆盖）,⚠ 待源头校准（消费主体/消费对象字段为空，无访谈覆盖）,无法评估——缺少岗位和部门数据,L4组成,KPI-TEXT-VN-FLM-01-1 招募计划完成率 / KPI-TEXT-VN-FLM-01-2 招募执行覆盖率,1.M1 中台运营 / 2.M4 业务渗透,理财师线索挖掘与招募子域节点，支撑理财师全生命周期管理,v1.0(提取合集校准),2026-06-25,FA域_价值节点信号提取基线_v1.0.md
VN-FOB-01,FA,转介协议及附属协议签署版,理财师入职与上岗E2E,正常,P0,入职资料审核,协议签署 → 寄总部归档,—,按需执行,,,,跑通中,⚠ 待源头校准（生产部门/生产岗位字段为空，无访谈覆盖）,⚠ 待源头校准（消费主体/消费对象字段为空，无访谈覆盖）,无法评估——缺少岗位和部门数据,L4组成,KPI-TEXT-VN-FOB-01-1 协议签署率 / KPI-TEXT-VN-FOB-01-2 归档完整率,1.M7 产品治理 / 2.M8 财务结算,理财师入职与上岗子域节点，支撑理财师全生命周期管理,v1.0(提取合集校准),2026-06-25,FA域_价值节点信号提取基线_v1.0.md
VN-FOB-02,FA,新人90天培养计划,理财师入职与上岗E2E,正常,P1,入职完成,90天培养计划启动 → 培养完成评估,—,按需执行,,,,跑通中,⚠ 待源头校准（生产部门/生产岗位字段为空，无访谈覆盖）,⚠ 待源头校准（消费主体/消费对象字段为空，无访谈覆盖）,无法评估——缺少岗位和部门数据,（补充说明） + L4组成,KPI-TEXT-VN-FOB-02-1 新人留存率 / KPI-TEXT-VN-FOB-02-2 首单转化率 / KPI-TEXT-VN-FOB-02-3 培养目标达成率,1.M1 中台运营 / 2.M4 业务渗透,理财师入职与上岗子域节点，支撑理财师全生命周期管理,v1.0(提取合集校准),2026-06-25,FA域_价值节点信号提取基线_v1.0.md
VN-FOR-01,FA,首单陪跑记录,理财师运营支持E2E,正常,P1,新人入职,首单陪跑启动 → 出单完成 → 记录归档,—,日常持续积累,,,,跑通中,⚠ 待源头校准（生产部门/生产岗位字段为空，无访谈覆盖）,⚠ 待源头校准（消费主体/消费对象字段为空，无访谈覆盖）,无法评估——缺少岗位和部门数据,（补充说明） + L4组成,KPI-TEXT-VN-FOR-01-1 首单转化率 / KPI-TEXT-VN-FOR-01-2 陪跑覆盖率 / KPI-TEXT-VN-FOR-01-3 出单周期,1.M1 中台运营 / 2.M4 业务渗透,理财师运营支持子域节点，支撑理财师全生命周期管理,v1.0(提取合集校准),2026-06-25,FA域_价值节点信号提取基线_v1.0.md
VN-FOR-02,FA,月度营销启发案,理财师运营支持E2E,正常,P1,月度周期触发,启发案制定 → 执行 → 效果评估,—,日常持续积累,,,,跑通中,⚠ 待源头校准（生产部门/生产岗位字段为空，无访谈覆盖）,⚠ 待源头校准（消费主体/消费对象字段为空，无访谈覆盖）,无法评估——缺少岗位和部门数据,（补充说明） + L4组成,KPI-TEXT-VN-FOR-02-1 营销启发案执行率 / KPI-TEXT-VN-FOR-02-2 活动参与率 / KPI-TEXT-VN-FOR-02-3 恒常出单率,1.M4 业务渗透 / 2.M6 业务渗透,理财师运营支持子域节点，支撑理财师全生命周期管理,v1.0(提取合集校准),2026-06-25,FA域_价值节点信号提取基线_v1.0.md
VN-FPG-01,FA,[🔴熔断] 月度/季度考核指标表,理财师绩效与激励E2E,正常,P1,指标设定,下发分公司 → 执行评估,—,每月1次,,,,跑通中,⚠ 待源头校准（生产部门/生产岗位字段为空，无访谈覆盖）,⚠ 待源头校准（消费主体/消费对象字段为空，无访谈覆盖）,无法评估——缺少岗位和部门数据,（补充说明） + L4组成,KPI-TEXT-VN-FPG-01-1 指标定稿率 / KPI-TEXT-VN-FPG-01-2 指标覆盖率 / KPI-TEXT-VN-FPG-01-3 绩效挂钩执行率,1.M2 KPI报表 / 2.M7 产品治理,理财师绩效与激励子域节点，支撑理财师全生命周期管理,v1.0(提取合集校准),2026-06-25,FA域_价值节点信号提取基线_v1.0.md
VN-FPG-02,FA,季度激励方案,理财师绩效与激励E2E,正常,P1,季度周期触发,方案制定 → 核算 → 发放,—,每月1次,,,,跑通中,⚠ 待源头校准（生产部门/生产岗位字段为空，无访谈覆盖）,⚠ 待源头校准（消费主体/消费对象字段为空，无访谈覆盖）,无法评估——缺少岗位和部门数据,（补充说明） + L4组成,KPI-TEXT-VN-FPG-02-1 激励方案覆盖率 / KPI-TEXT-VN-FPG-02-2 核算准确率 / KPI-TEXT-VN-FPG-02-3 发放及时率,1.M4 业务渗透 / 2.M8 财务结算,理财师绩效与激励子域节点，支撑理财师全生命周期管理,v1.0(提取合集校准),2026-06-25,FA域_价值节点信号提取基线_v1.0.md
VN-FTR-01,FA,培训课程体系（含配套工具）,理财师培训与转介签约E2E,正常,P1,培训需求,课程体系更新 → 资料库维护 → 分发,—,每月1次,,,,跑通中,⚠ 待源头校准（生产部门/生产岗位字段为空，无访谈覆盖）,⚠ 待源头校准（消费主体/消费对象字段为空，无访谈覆盖）,无法评估——缺少岗位和部门数据,L4组成,KPI-TEXT-VN-FTR-01-1 培训覆盖率 / KPI-TEXT-VN-FTR-01-2 资料使用率 / KPI-TEXT-VN-FTR-01-3 培训满意度,1.M1 中台运营 / 2.M4 业务渗透 / 3.M5 AI自动化,理财师培训与转介签约子域节点，支撑理财师全生命周期管理,v1.0(提取合集校准),2026-06-25,FA域_价值节点信号提取基线_v1.0.md
VN-HR-03,HR,绩效方案,战略目标与绩效体系建立流程E2E,正常,P1,"1.Mark确定业务目标
2.HR拆解KPI",《绩效方案》,被考核人确认版,季度/月度(按考核周期),绩效管理机制(组织KPI的下达与测评)（正常）,,方案文档存在但颗粒度不一致,跑通中,v2.0数据表中生产部门/生产岗位字段为空，暂无数据，待Terresa/HR校准,v2.0数据表中消费主体/消费对象字段为空，暂无数据，待Terresa/HR校准,待访谈确认,绩效方案,绩效方案覆盖率、绩效方案及时率、绩效考核结果应用率,M0 数理基建 / M2 KPI报表 / M7 产品治理（3个M闭环）,绩效方案是HR域中的重要节点，涉及战略目标与绩效体系建立流程E2E的核心产出，对组织的绩效管理/人力资源运营具有战略支撑作用。,v1.0(提取合集校准),2026-06-25,HR域_价值节点信号提取基线_v1.0.md
VN-HR-04,HR,人效分析报告,人力分析与决策支持流程E2E,正常,P1,"1.人力数据采集
2.财务数据对接",《人效分析报告》,管理层审阅版,季度/月度,人效分析与对标（正常）,,报告实体存在但质量参差(400变800问题),跑通中,v2.0数据表中生产部门/生产岗位字段为空，暂无数据，待Terresa/HR校准,v2.0数据表中消费主体/消费对象字段为空，暂无数据，待Terresa/HR校准,待访谈确认,人效分析报告,人效分析覆盖率、分析结论采纳率、报告产出时效,M0 数理基建 / M2 KPI报表 / M3 NGP（3个M闭环）,人效分析报告是HR域中的重要节点，涉及人力分析与决策支持流程E2E的核心产出，对组织的绩效管理/人力资源运营具有战略支撑作用。,v1.0(提取合集校准),2026-06-25,HR域_价值节点信号提取基线_v1.0.md
