node_id,node_name,l3_code,gate1_status,gate2_status,gate3_status,overall_judgment,source
VN-ASD-01,投诉处理报告,L3-ASD,PARTIAL,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-ASD-02,售后服务质量监控报告,L3-ASD,PARTIAL,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-BAM-01,银行账户全生命周期管理资产包,L3-BAM,FAIL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-BAM-02,银行准入评估与支付工具管理记录,L3-BAM,FAIL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-BSRV-01,机构结算核对台账,L3-BSRV,PARTIAL,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-CFM-01,现金流管理报告包,L3-CFM,FAIL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-CFM-02,资金付款审批单,L3-CFM,FAIL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-CPM-01,机构监控指标体系与看板,L3-CPM,PARTIAL,PARTIAL,PARTIAL,FAIL,process_analytics.dim_vn(数据仓库)
VN-CPM-02,优化闭环执行包,L3-CPM,PARTIAL,PARTIAL,PARTIAL,FAIL,process_analytics.dim_vn(数据仓库)
VN-CRR-01,DD重审记录,L3-CRR,,,,多项PARTIAL,process_analytics.dim_vn(数据仓库)
VN-CRR-02,续签合约,L3-CRR,,,,多项PARTIAL,process_analytics.dim_vn(数据仓库)
VN-EQ-01,同行经代服务方案,L3-SSD,FAIL,PARTIAL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-EQ-02,初版权益规划方案,L3-RSD,PASS,PASS,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-EQ-03,权益推广素材包,L3-RPD,PASS,PASS,PASS,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-EQ-04,终版权益规划方案,L3-OBC,PASS,PASS,PASS,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-EQ-05,已签权益商务合同,L3-CDS,PASS,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-EQ-06,权益内训素材包,L3-SPD,PASS,PASS,PASS,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-EQ-07,客户权益赋能包,L3-COB,PASS,PASS,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-EQ-08,已签服务协议,L3-SDS,PASS,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-EQ-09,权益上市推广素材,L3-SLM,FAIL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-EQ-10,理财师分级清单,L3-EO,PARTIAL,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-EQ-11,经确认的客户权益需求清单,L3-CDA-SRA,PARTIAL,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-FBA-01,月度/季度经营分析报告,L3-FBA,PARTIAL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-FLM-01,招募计划与执行记录,L3-FLM,PARTIAL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-FOB-01,转介协议及附属协议签署版,L3-FOB,PASS,PASS,PASS,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-FOB-02,新人90天培养计划,L3-FOB,PARTIAL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-FOR-01,首单陪跑记录,L3-FOR,PARTIAL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-FOR-02,月度营销启发案,L3-FOR,PARTIAL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-FPG-01,月度/季度考核指标表,L3-FPG,PARTIAL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-FPG-02,季度激励方案,L3-FPG,PARTIAL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-FTR-01,培训课程体系（含配套工具）,L3-FTR,PARTIAL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-HR-03,绩效方案,L3-SPE,PARTIAL,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-HR-04,人效分析报告,L3-HRA,PARTIAL,PARTIAL,PARTIAL,FAIL,process_analytics.dim_vn(数据仓库)
VN-HR-05,人力资源诊断与改善建议报告,L3-HRA,PARTIAL,FAIL,PARTIAL,FAIL,process_analytics.dim_vn(数据仓库)
VN-HR-06,岗位编制方案,L3-HRM,PARTIAL,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-HR-07,员工劳动合同,L3-HRM,PASS,PARTIAL,PASS,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-HR-08,员工成长路径方案,L3-HRM,PARTIAL,FAIL,PARTIAL,FAIL,process_analytics.dim_vn(数据仓库)
VN-HR-09,绩效考核结果,L3-HRM,PARTIAL,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-HR-10,员工档案,L3-HRM,PARTIAL,FAIL,PARTIAL,FAIL,process_analytics.dim_vn(数据仓库)
VN-HR-11,人工成本报表,L3-SPE,PASS,PASS,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-HR-12,人员归属表,L3-SPE,PASS,PASS,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-HR-13,人员预算表,L3-HRM,PASS,PASS,PASS,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-HR-14,工资发放凭证,L3-HRM,PASS,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-IBRD-01,合作伙伴尽调记录,L3-IBRD,PASS,PARTIAL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-IBRD-02,合作伙伴合作复盘与决策记录,L3-IBRD,FAIL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-INS-01,可行性报告,L3-IAO,FAIL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-INS-02,已签合同+备案号,L3-IAC-NEG,PASS,PASS,PASS,PASS,process_analytics.dim_vn(数据仓库)
VN-INS-02,已签合同+备案号,L3-IAC-AUTH,PASS,PASS,PASS,PASS,process_analytics.dim_vn(数据仓库)
VN-INS-03,整合就绪确认书,L3-IRI,PASS,PASS,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-INS-04,认证名单,L3-IBE,FAIL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-INS-05,Portfolio分析报告,L3-IPI-ONB,PASS,PASS,PASS,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-INS-05,Portfolio分析报告,L3-IPI-OPS,PASS,PASS,PASS,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-INS-06,保司报告,L3-IMF,PASS,PASS,PASS,PASS,process_analytics.dim_vn(数据仓库)
VN-INS-07,调整建议书,L3-IMF,FAIL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-INS-08,新合同/终止协议,L3-IRR,PASS,PASS,PASS,PASS,process_analytics.dim_vn(数据仓库)
VN-INS-09,联合评估结论,L3-IRR,PASS,PASS,PASS,PASS,process_analytics.dim_vn(数据仓库)
VN-INS-10,周期总结报告,L3-IRR,PASS,PASS,PASS,PASS,process_analytics.dim_vn(数据仓库)
VN-JOPD-01,联合运营项目交付完成包,L3-JOPD,PARTIAL,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-KAEM-01,KA培训完成记录,L3-KAEM,PARTIAL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-KAEM-02,KA资讯发放核销记录,L3-KAEM,PASS,PARTIAL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-KAET-01,KA评估定级记录,L3-KAET,FAIL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-KAGA-01,KA业绩汇总,L3-KAGA,FAIL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-KAOP-01,KA上架就绪确认,L3-KAOP,FAIL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
