l3_code,l2_code,l2_name,l1_code,l1_name
L3-ASD,CAP-L2-2-S5,机构联合运营能力,L1-02,市场设计与合作伙伴发展
L3-BSRV,CAP-L2-2-S7,机构结算评估能力,L1-02,市场设计与合作伙伴发展
L3-BSRV,CAP-L2-2-S5,机构联合运营能力,L1-02,市场设计与合作伙伴发展
L3-CAS,CAP-L2-1-S1,保司机会判断能力,L1-01,资源获取与产品整合
L3-CDA-SRA,CAP-L2-5-S1,客户需求洞察能力,L1-05,价值增值与生态绑定
L3-CDS,CAP-L2-5-S3,客户合同签订能力,L1-05,价值增值与生态绑定
L3-COB,CAP-L2-5-S4,客户服务启动能力,L1-05,价值增值与生态绑定
L3-CPM,CAP-L2-2-S6,机构能力提升能力,L1-02,市场设计与合作伙伴发展
L3-CRR,CAP-L2-2-S6,机构能力提升能力,L1-02,市场设计与合作伙伴发展
L3-CRR,CAP-L2-2-S8,机构续约决策能力,L1-02,市场设计与合作伙伴发展
L3-EFB,CAP-L2-2-S6,机构能力提升能力,L1-02,市场设计与合作伙伴发展
L3-EO,CAP-L2-5-S6,客户服务优化能力,L1-05,价值增值与生态绑定
L3-FBA,CAP-L2-4-S5,理财师业绩运营能力,L1-04,能力赋能与增长驱动
L3-FLM,CAP-L2-4-S1,理财师招募识别能力,L1-04,能力赋能与增长驱动
L3-FOB,CAP-L2-4-S2,理财师入职配置能力,L1-04,能力赋能与增长驱动
L3-FOR,CAP-L2-4-S4,理财师成交辅导能力,L1-04,能力赋能与增长驱动
L3-FPG,CAP-L2-4-S6,理财师晋升激励能力,L1-04,能力赋能与增长驱动
L3-FTR,CAP-L2-4-S3,理财师培训认证能力,L1-04,能力赋能与增长驱动
L3-IAC-AUTH,CAP-L2-1-S2,保司商务谈判能力,L1-01,资源获取与产品整合
L3-IAC-NEG,CAP-L2-1-S2,保司商务谈判能力,L1-01,资源获取与产品整合
L3-IAO,CAP-L2-1-S1,保司机会判断能力,L1-01,资源获取与产品整合
L3-IBE,CAP-L2-1-S4,保司运营赋能能力,L1-01,资源获取与产品整合
L3-IBEC,CAP-L2-2-S1,机构需求判断能力,L1-02,市场设计与合作伙伴发展
L3-IBRD,CAP-L2-2-S1,机构需求判断能力,L1-02,市场设计与合作伙伴发展
L3-IMF,CAP-L2-1-S6,保司市场洞察能力,L1-01,资源获取与产品整合
L3-IPI-ONB,CAP-L2-1-S5,保司产品运营能力,L1-01,资源获取与产品整合
L3-IPI-OPS,CAP-L2-1-S5,保司产品运营能力,L1-01,资源获取与产品整合
L3-IRI,CAP-L2-1-S3,保司资源整合能力,L1-01,资源获取与产品整合
L3-IRR,CAP-L2-1-S7,保司绩效决策能力,L1-01,资源获取与产品整合
L3-JOPD,CAP-L2-2-S3,机构体系搭建能力,L1-02,市场设计与合作伙伴发展
L3-KAEC,CAP-L2-3-S1,KA客户发现能力,L1-02,市场设计与合作伙伴发展
L3-KAEM,CAP-L2-3-S4,KA销售赋能能力,L1-02,市场设计与合作伙伴发展
L3-KAEM,CAP-L2-3-S5,KA培训交付能力,L1-02,市场设计与合作伙伴发展
L3-KAET,CAP-L2-3-S2,KA评估定级能力,L1-02,市场设计与合作伙伴发展
L3-KAGA,CAP-L2-3-S7,KA运营优化能力,L1-02,市场设计与合作伙伴发展
L3-KAOE,CAP-L2-3-S6,KA成交辅导能力,L1-02,市场设计与合作伙伴发展
L3-KAOP,CAP-L2-3-S3,KA合同上架能力,L1-02,市场设计与合作伙伴发展
L3-KASC,CAP-L2-3-S3,KA合同上架能力,L1-02,市场设计与合作伙伴发展
L3-KPI,CAP-L2-1-S1,保司机会判断能力,L1-01,资源获取与产品整合
L3-MED,CAP-L2-1-S1,保司机会判断能力,L1-01,资源获取与产品整合
L3-MEI,CAP-L2-1-S1,保司机会判断能力,L1-01,资源获取与产品整合
L3-MIO,CAP-L2-1-S1,保司机会判断能力,L1-01,资源获取与产品整合
L3-NG,CAP-L2-2-S2,机构合作签约能力,L1-02,市场设计与合作伙伴发展
L3-OBC,CAP-L2-5-S2,客户方案设计能力,L1-05,价值增值与生态绑定
L3-RCM,CAP-L2-2-S4,机构权益设计能力,L1-02,市场设计与合作伙伴发展
L3-RPD,CAP-L2-5-S2,客户方案设计能力,L1-05,价值增值与生态绑定
L3-RSD,CAP-L2-5-S2,客户方案设计能力,L1-05,价值增值与生态绑定
L3-RSJD,CAP-L2-2-S5,机构联合运营能力,L1-02,市场设计与合作伙伴发展
L3-SDS,CAP-L2-5-S1,客户需求洞察能力,L1-05,价值增值与生态绑定
L3-SFC,CAP-L2-1-S1,保司机会判断能力,L1-01,资源获取与产品整合
L3-SLM,CAP-L2-5-S2,客户方案设计能力,L1-05,价值增值与生态绑定
L3-SOB,CAP-L2-5-S1,客户需求洞察能力,L1-05,价值增值与生态绑定
L3-SPD,CAP-L2-5-S4,客户服务启动能力,L1-05,价值增值与生态绑定
L3-SPO,CAP-L2-5-S5,客户服务交付能力,L1-05,价值增值与生态绑定
L3-SRE,CAP-L2-1-S1,保司机会判断能力,L1-01,资源获取与产品整合
L3-SRM,CAP-L2-2-S3,机构体系搭建能力,L1-02,市场设计与合作伙伴发展
L3-SSD,CAP-L2-2-S3,机构体系搭建能力,L1-02,市场设计与合作伙伴发展
L3-SSVA,CAP-L2-5-S7,客户价值结算能力,L1-05,价值增值与生态绑定
L3-SSVA,CAP-L2-5-S6,客户服务优化能力,L1-05,价值增值与生态绑定
L3-UCA,CAP-L2-2-S4,机构权益设计能力,L1-02,市场设计与合作伙伴发展
L3-UCR,CAP-L2-2-S2,机构合作签约能力,L1-02,市场设计与合作伙伴发展
L3-URD,CAP-L2-2-S1,机构需求判断能力,L1-02,市场设计与合作伙伴发展
L3-URF,CAP-L2-2-S2,机构合作签约能力,L1-02,市场设计与合作伙伴发展
L3-USV,CAP-L2-2-S4,机构权益设计能力,L1-02,市场设计与合作伙伴发展
L3-VPV,CAP-L2-1-S1,保司机会判断能力,L1-01,资源获取与产品整合
无,CAP-L2-5-S8,客户续约决策能力,L1-05,价值增值与生态绑定
